"YEAR","BFISH","PSU","STRATA_2020","APRU","ETCA","ETCO","HYQU","PRFI","PRSI","PRZO"
2020,"BFISH_2020_F",18,"S12",2.0440060894952,0,0,4.11735852017666,0,0,0
2020,"BFISH_2020_F",37,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",50,"S22",0,0,0,0,0,0,0
2020,"BFISH_2020_F",101,"S01",0,0,0,0,6.34570418020444,0,0
2020,"BFISH_2020_F",132,"S10",0,0,0,0,7.04872409653935,0,0
2020,"BFISH_2020_F",304,"S22",0,5.91762587944191,0,0,0,0,0
2020,"BFISH_2020_F",323,"S16",0,4.90087043454633,0,0,0,0,3.07479888803879
2020,"BFISH_2020_F",422,"S22",0,4.2903887290113,0,0,0,0,0
2020,"BFISH_2020_F",435,"S22",0,3.44505722856628,0,0,0,0,0
2020,"BFISH_2020_F",538,"S21",0,0,0,0,0,0,0
2020,"BFISH_2020_F",541,"S16",0,0,0,0,0,29.8768944064784,0
2020,"BFISH_2020_F",575,"S24",0,0,0,0,0,0,0
2020,"BFISH_2020_F",611,"S16",0,4.23255180714327,0,0,0,6.01303643670468,1.98916474300454
2020,"BFISH_2020_F",628,"S20",0,0,0,5.18647870897999,0,14.4033443722554,0
2020,"BFISH_2020_F",700,"S22",0,2.05214764772988,0,0,0,0,0
2020,"BFISH_2020_F",1249,"S10",0,0,0,0,13.3833975643862,0,0
2020,"BFISH_2020_F",1335,"S10",0,0,0,0,11.0194542936744,4.65905433136493,0
2020,"BFISH_2020_F",1387,"S12",0,0,0,0,20.300261290003,0,0
2020,"BFISH_2020_F",1484,"S22",0,10.1349964433103,0,0,0,0,0
2020,"BFISH_2020_F",1496,"S16",0,0,0,0,0,4.25710772178249,0
2020,"BFISH_2020_F",1510,"S22",0,1.0827082708127,0,0,0,0,0
2020,"BFISH_2020_F",1704,"S10",0,1.2871454289631,0,0,0,0,0.773951349925052
2020,"BFISH_2020_F",1765,"S15",0,2.54922737474722,0,0,0,0,0.647269868924597
2020,"BFISH_2020_F",1905,"S12",0,0.901239225741635,0,0,0,0,0
2020,"BFISH_2020_F",1947,"S16",0,0,0,0,6.09988629456189,0,0
2020,"BFISH_2020_F",2055,"S24",0,0,0,0,0,0,0
2020,"BFISH_2020_F",2165,"S16",0,0.818684818373517,0,0,2.21758674630613,0,0
2020,"BFISH_2020_F",2183,"S22",0,0,0,0,0,0,0
2020,"BFISH_2020_F",2265,"S21",0,0,0,0,0,0,0
2020,"BFISH_2020_F",2416,"S11",0,0,0,0,0,0,0
2020,"BFISH_2020_F",2420,"S22",0,0.669071595709924,0,0,0,0,0
2020,"BFISH_2020_F",2524,"S04",0,0,0,0,0,0,0
2020,"BFISH_2020_F",2559,"S24",0,0,0,0,0,0,0
2020,"BFISH_2020_F",2673,"S03",0,0,0,0,0,0,0
2020,"BFISH_2020_F",2743,"S05",0,0,0,0,0,0,0.773951349925052
2020,"BFISH_2020_F",2895,"S22",0,0,0,0,0,0,0
2020,"BFISH_2020_F",2931,"S02",0,0,0,0,18.7532651882896,0,0
2020,"BFISH_2020_F",2937,"S22",0,0,0,0,0,0,0
2020,"BFISH_2020_F",3025,"S22",0,0,0,0,0,0,0
2020,"BFISH_2020_F",3027,"S22",0,0,0,0,0,0,0
