"YEAR","BFISH","PSU","STRATA_2020","APRU","ETCA","ETCO","HYQU","PRFI","PRSI","PRZO"
2016,"BFISH_2016_F",89,"S01",0,0,0,0,0,0,0
2016,"BFISH_2016_F",93,"S24",0,0,0,0,0,0,0
2016,"BFISH_2016_F",201,"S22",0,0,0,0,0,0,0
2016,"BFISH_2016_F",247,"S12",0,0,0,0,0,0,0
2016,"BFISH_2016_F",286,"S22",0,0,0,0,0,0,0
2016,"BFISH_2016_F",306,"S16",0,1.34200600528956,0,0,0,13.1398842995094,0
2016,"BFISH_2016_F",321,"S22",0,6.65245751367138,0,0,0,0,0
2016,"BFISH_2016_F",322,"S04",0,0,0,0,0,0,0
2016,"BFISH_2016_F",415,"S16",0,1.0827082708127,0,0,0,0,0
2016,"BFISH_2016_F",420,"S24",0,0,0,0,0,0,0
2016,"BFISH_2016_F",422,"S22",0,0,0,0,0,5.08523570952551,0
2016,"BFISH_2016_F",538,"S21",0,3.69379733099238,0,0,0,0,0
2016,"BFISH_2016_F",672,"S20",0,3.11120690264237,0,0,0,0,0
2016,"BFISH_2016_F",720,"S15",0,0,0,0,5.85441958736528,0,0
2016,"BFISH_2016_F",853,"S16",0,0,0,0,0,9.0887622640749,0
2016,"BFISH_2016_F",881,"S16",0,0,0,0,0,0,0
2016,"BFISH_2016_F",909,"S16",0,0,0,0,0.545196559332392,0,0
2016,"BFISH_2016_F",935,"S12",0,2.27633478247024,0,0,4.07426851882486,0,0
2016,"BFISH_2016_F",945,"S22",0,0,0,0,0,0,0
2016,"BFISH_2016_F",1001,"S22",0,3.93955115968631,0,0,0,0,0
2016,"BFISH_2016_F",1027,"S16",0,0,0,0,0,0,0
2016,"BFISH_2016_F",1122,"S04",0,0,0,0,0,0,0
2016,"BFISH_2016_F",1178,"S12",0,0,0,0,0.323590416104391,0,0
2016,"BFISH_2016_F",1206,"S11",0,0,0,0,0,0,0
2016,"BFISH_2016_F",1255,"S12",0,0,0,0,0,0,0
2016,"BFISH_2016_F",1322,"S22",0,0,0,0,0,0,0
2016,"BFISH_2016_F",1509,"S16",0,2.71973190988085,0,0,0,0,0
2016,"BFISH_2016_F",1514,"S16",0,2.05214764772988,0,0,0,0,0.534906880132225
2016,"BFISH_2016_F",1553,"S16",0,2.05214764772988,0,0,0,5.08523570952551,0.773951349925052
2016,"BFISH_2016_F",1598,"S22",0,2.25729111634454,0,0,0,0,0
2016,"BFISH_2016_F",1700,"S24",0,0,0,0,0,0,0
2016,"BFISH_2016_F",1734,"S16",0,1.40154167122054,0,0,0.131334216843597,0,0
2016,"BFISH_2016_F",1776,"S22",0,0.818684818373517,0,0,0,0,0
2016,"BFISH_2016_F",1805,"S12",0,0,0,0,0,0,0
2016,"BFISH_2016_F",1835,"S14",0,0,0,0,0,0,0.779267014249924
2016,"BFISH_2016_F",1845,"S22",0,1.34330327705596,0,0,0,0,0
2016,"BFISH_2016_F",1848,"S01",0,0,0,0,0,0,0
2016,"BFISH_2016_F",1856,"S24",0,0,0,0,0,0,0
2016,"BFISH_2016_F",1870,"S22",0,0,0,0,0,0,0
2016,"BFISH_2016_F",2052,"S16",0,5.08778843894493,0,0,0,0,0
2016,"BFISH_2016_F",2074,"S22",0,1.56003802124008,0,0,0,0,0
2016,"BFISH_2016_F",2075,"S24",0,0,0,0,0,0,0
2016,"BFISH_2016_F",2232,"S12",0,1.55009621183717,0,0,0,0,0
2016,"BFISH_2016_F",2432,"S22",0,0,0,0,0,0,0
2016,"BFISH_2016_F",2443,"S22",0,0,0,0,0,0,0
2016,"BFISH_2016_F",2473,"S22",0,0,0,0,0,0,0
2016,"BFISH_2016_F",2546,"S22",0,6.78061999127875,0,0,0,0,0
2016,"BFISH_2016_F",2549,"S03",0,0,0,0,0,0,0
2016,"BFISH_2016_F",2577,"S16",0,0,0,0,0,2.81692536340264,0
2016,"BFISH_2016_F",2580,"S22",0,1.0827082708127,0,0,0,0,0
2016,"BFISH_2016_F",2592,"S04",0,0,0,0,0,0,0
2016,"BFISH_2016_F",2597,"S12",0,0,0,0,0,0,0
2016,"BFISH_2016_F",2600,"S21",0,1.51593791347797,0,0,0,0,0
2016,"BFISH_2016_F",2617,"S04",0,0,0,0,0,0,0
2016,"BFISH_2016_F",2678,"S05",0,0,0,0,0,0,0
2016,"BFISH_2016_F",2906,"S01",0,0,0,0,0,0,0
2016,"BFISH_2016_F",3037,"S14",0,0,0,0,0,0,0
2016,"BFISH_2016_F",3307,"S05",0,0,0,0,0,0,0
2016,"BFISH_2016_F",3480,"S05",0,0,0,0,0,0,0
2016,"BFISH_2016_F",3489,"S01",0,0,0,0,0,0,0
2016,"BFISH_2016_F",3767,"S20",0,0,0,0,0,0,0
