"YEAR","BFISH","Island","STRATA_2020","SAMPLE_DEPTH_M","PSU","SPECIES_CD","LENGTH_CM","CPUE"
2016,"BFISH_2016_F","Big Island","S01",85.78,1848,"PRSI",0,0
2016,"BFISH_2016_F","Big Island","S01",85.78,1848,"APRU",0,0
2016,"BFISH_2016_F","Big Island","S01",85.78,1848,"PRZO",0,0
2016,"BFISH_2016_F","Big Island","S01",85.78,1848,"PRFI",0,0
2016,"BFISH_2016_F","Big Island","S01",85.78,1848,"ETCA",0,0
2016,"BFISH_2016_F","Big Island","S01",85.78,1848,"HYQU",0,0
2016,"BFISH_2016_F","Big Island","S01",85.78,1848,"ETCO",0,0
2016,"BFISH_2016_F","Maui Nui","S01",85.81,21285,"APRU",0,0
2016,"BFISH_2016_F","Maui Nui","S01",85.81,21285,"PRZO",0,0
2016,"BFISH_2016_F","Maui Nui","S01",85.81,21285,"HYQU",0,0
2016,"BFISH_2016_F","Maui Nui","S01",85.81,21285,"ETCO",0,0
2016,"BFISH_2016_F","Maui Nui","S01",85.81,21285,"PRFI",0,0
2016,"BFISH_2016_F","Maui Nui","S01",85.81,21285,"ETCA",0,0
2016,"BFISH_2016_F","Maui Nui","S01",85.81,21285,"PRSI",0,0
2016,"BFISH_2016_F","Maui Nui","S01",100,23271,"PRSI",0,0
2016,"BFISH_2016_F","Maui Nui","S01",100,23271,"ETCO",0,0
2016,"BFISH_2016_F","Maui Nui","S01",100,23271,"APRU",0,0
2016,"BFISH_2016_F","Maui Nui","S01",100,23271,"ETCA",0,0
2016,"BFISH_2016_F","Maui Nui","S01",100,23271,"HYQU",0,0
2016,"BFISH_2016_F","Maui Nui","S01",100,23271,"PRFI",30.5,2.89100896212778
2016,"BFISH_2016_F","Maui Nui","S01",100,23271,"PRFI",32,2.89100896212778
2016,"BFISH_2016_F","Maui Nui","S01",100,23271,"PRZO",0,0
2016,"BFISH_2016_F","Maui Nui","S01",100,23271,"PRFI",35,2.89100896212778
2016,"BFISH_2016_F","Big Island","S01",77.905,2906,"HYQU",0,0
2016,"BFISH_2016_F","Big Island","S01",77.905,2906,"ETCA",0,0
2016,"BFISH_2016_F","Big Island","S01",77.905,2906,"PRSI",0,0
2016,"BFISH_2016_F","Big Island","S01",77.905,2906,"ETCO",0,0
2016,"BFISH_2016_F","Big Island","S01",77.905,2906,"APRU",0,0
2016,"BFISH_2016_F","Big Island","S01",77.905,2906,"PRFI",0,0
2016,"BFISH_2016_F","Big Island","S01",77.905,2906,"PRZO",0,0
2016,"BFISH_2016_F","Oahu","S01",78,33832,"PRSI",0,0
2016,"BFISH_2016_F","Oahu","S01",78,33832,"ETCO",0,0
2016,"BFISH_2016_F","Oahu","S01",78,33832,"APRU",0,0
2016,"BFISH_2016_F","Oahu","S01",78,33832,"ETCA",0,0
2016,"BFISH_2016_F","Oahu","S01",78,33832,"PRFI",0,0
2016,"BFISH_2016_F","Oahu","S01",78,33832,"PRZO",0,0
2016,"BFISH_2016_F","Oahu","S01",78,33832,"HYQU",0,0
2016,"BFISH_2016_F","Big Island","S01",105,3489,"PRFI",0,0
2016,"BFISH_2016_F","Big Island","S01",105,3489,"PRSI",0,0
2016,"BFISH_2016_F","Big Island","S01",105,3489,"ETCA",0,0
2016,"BFISH_2016_F","Big Island","S01",105,3489,"HYQU",0,0
2016,"BFISH_2016_F","Big Island","S01",105,3489,"APRU",0,0
2016,"BFISH_2016_F","Big Island","S01",105,3489,"PRZO",0,0
2016,"BFISH_2016_F","Big Island","S01",105,3489,"ETCO",0,0
2016,"BFISH_2016_F","Oahu","S01",78.7325,38099,"ETCO",0,0
2016,"BFISH_2016_F","Oahu","S01",78.7325,38099,"ETCA",0,0
2016,"BFISH_2016_F","Oahu","S01",78.7325,38099,"APRU",0,0
2016,"BFISH_2016_F","Oahu","S01",78.7325,38099,"PRSI",0,0
2016,"BFISH_2016_F","Oahu","S01",78.7325,38099,"PRZO",0,0
2016,"BFISH_2016_F","Oahu","S01",78.7325,38099,"HYQU",0,0
2016,"BFISH_2016_F","Oahu","S01",78.7325,38099,"PRFI",0,0
2016,"BFISH_2016_F","Oahu","S01",75.9825,38102,"ETCA",0,0
2016,"BFISH_2016_F","Oahu","S01",75.9825,38102,"PRFI",0,0
2016,"BFISH_2016_F","Oahu","S01",75.9825,38102,"HYQU",0,0
2016,"BFISH_2016_F","Oahu","S01",75.9825,38102,"ETCO",0,0
2016,"BFISH_2016_F","Oahu","S01",75.9825,38102,"PRSI",0,0
2016,"BFISH_2016_F","Oahu","S01",75.9825,38102,"APRU",0,0
2016,"BFISH_2016_F","Oahu","S01",75.9825,38102,"PRZO",0,0
2016,"BFISH_2016_F","Oahu","S01",80.69,38103,"ETCA",0,0
2016,"BFISH_2016_F","Oahu","S01",80.69,38103,"APRU",0,0
2016,"BFISH_2016_F","Oahu","S01",80.69,38103,"PRFI",0,0
2016,"BFISH_2016_F","Oahu","S01",80.69,38103,"ETCO",0,0
2016,"BFISH_2016_F","Oahu","S01",80.69,38103,"PRZO",0,0
2016,"BFISH_2016_F","Oahu","S01",80.69,38103,"HYQU",0,0
2016,"BFISH_2016_F","Oahu","S01",80.69,38103,"PRSI",0,0
2016,"BFISH_2016_F","Oahu","S01",88,39242,"ETCA",0,0
2016,"BFISH_2016_F","Oahu","S01",88,39242,"PRFI",0,0
2016,"BFISH_2016_F","Oahu","S01",88,39242,"APRU",0,0
2016,"BFISH_2016_F","Oahu","S01",88,39242,"PRSI",0,0
