"PSU","Island","BFISH","STRATA_2020","SAMPLE_DEPTH_M","SPECIES_CD","LENGTH_CM","CPUE","GEAR","YEAR"
24,"Big Island","BFISH_2018_F","S11",143,"PRFI",0,0,"Fishing","2018"
24,"Big Island","BFISH_2018_F","S11",143,"HYQU",0,0,"Fishing","2018"
24,"Big Island","BFISH_2018_F","S11",143,"PRSI",37,14.6627565982405,"Fishing","2018"
24,"Big Island","BFISH_2018_F","S11",143,"ETCA",0,0,"Fishing","2018"
24,"Big Island","BFISH_2018_F","S11",143,"APRU",0,0,"Fishing","2018"
24,"Big Island","BFISH_2018_F","S11",143,"PRSI",39,7.33137829912024,"Fishing","2018"
24,"Big Island","BFISH_2018_F","S11",143,"PRZO",0,0,"Fishing","2018"
24,"Big Island","BFISH_2018_F","S11",143,"ETCO",0,0,"Fishing","2018"
271,"Big Island","BFISH_2018_F","S10",140,"HYQU",0,0,"Fishing","2018"
271,"Big Island","BFISH_2018_F","S10",140,"PRZO",0,0,"Fishing","2018"
271,"Big Island","BFISH_2018_F","S10",140,"PRSI",0,0,"Fishing","2018"
271,"Big Island","BFISH_2018_F","S10",140,"ETCA",0,0,"Fishing","2018"
271,"Big Island","BFISH_2018_F","S10",140,"PRFI",45,2.89100896212778,"Fishing","2018"
271,"Big Island","BFISH_2018_F","S10",140,"PRFI",42,2.89100896212778,"Fishing","2018"
271,"Big Island","BFISH_2018_F","S10",140,"APRU",0,0,"Fishing","2018"
271,"Big Island","BFISH_2018_F","S10",140,"ETCO",0,0,"Fishing","2018"
305,"Big Island","BFISH_2018_F","S22",310,"ETCO",0,0,"Fishing","2018"
305,"Big Island","BFISH_2018_F","S22",310,"PRFI",0,0,"Fishing","2018"
305,"Big Island","BFISH_2018_F","S22",310,"ETCA",37,1.62048290390536,"Fishing","2018"
305,"Big Island","BFISH_2018_F","S22",310,"APRU",0,0,"Fishing","2018"
305,"Big Island","BFISH_2018_F","S22",310,"PRZO",0,0,"Fishing","2018"
305,"Big Island","BFISH_2018_F","S22",310,"PRSI",0,0,"Fishing","2018"
305,"Big Island","BFISH_2018_F","S22",310,"HYQU",0,0,"Fishing","2018"
449,"Big Island","BFISH_2018_F","S16",171,"HYQU",60,1,"Fishing","2018"
449,"Big Island","BFISH_2018_F","S16",171,"PRFI",0,0,"Fishing","2018"
449,"Big Island","BFISH_2018_F","S16",171,"PRZO",0,0,"Fishing","2018"
449,"Big Island","BFISH_2018_F","S16",171,"ETCO",0,0,"Fishing","2018"
449,"Big Island","BFISH_2018_F","S16",171,"APRU",0,0,"Fishing","2018"
449,"Big Island","BFISH_2018_F","S16",171,"ETCA",0,0,"Fishing","2018"
449,"Big Island","BFISH_2018_F","S16",171,"PRSI",0,0,"Fishing","2018"
531,"Big Island","BFISH_2018_F","S16",212,"PRZO",0,0,"Fishing","2018"
531,"Big Island","BFISH_2018_F","S16",212,"APRU",0,0,"Fishing","2018"
531,"Big Island","BFISH_2018_F","S16",212,"ETCO",0,0,"Fishing","2018"
531,"Big Island","BFISH_2018_F","S16",212,"HYQU",0,0,"Fishing","2018"
531,"Big Island","BFISH_2018_F","S16",212,"PRSI",0,0,"Fishing","2018"
531,"Big Island","BFISH_2018_F","S16",212,"PRFI",0,0,"Fishing","2018"
531,"Big Island","BFISH_2018_F","S16",212,"ETCA",0,0,"Fishing","2018"
559,"Big Island","BFISH_2018_F","S12",166,"PRSI",33,7.33137829912024,"Fishing","2018"
559,"Big Island","BFISH_2018_F","S12",166,"APRU",0,0,"Fishing","2018"
559,"Big Island","BFISH_2018_F","S12",166,"PRSI",37,7.33137829912024,"Fishing","2018"
559,"Big Island","BFISH_2018_F","S12",166,"PRZO",0,0,"Fishing","2018"
559,"Big Island","BFISH_2018_F","S12",166,"HYQU",0,0,"Fishing","2018"
559,"Big Island","BFISH_2018_F","S12",166,"PRFI",0,0,"Fishing","2018"
