"PSU","Island","BFISH","STRATA_2020","SAMPLE_DEPTH_M","SPECIES_CD","LENGTH_CM","CPUE","GEAR","YEAR"
2387,"Big Island","BFISH_2019_F","S02",91.345,"PRZO",0,0,"Camera","2019"
2387,"Big Island","BFISH_2019_F","S02",91.345,"PRSI",0,0,"Camera","2019"
2387,"Big Island","BFISH_2019_F","S02",91.345,"ETCO",0,0,"Camera","2019"
2387,"Big Island","BFISH_2019_F","S02",91.345,"PRFI",0,0,"Camera","2019"
2387,"Big Island","BFISH_2019_F","S02",91.345,"HYQU",0,0,"Camera","2019"
2387,"Big Island","BFISH_2019_F","S02",91.345,"ETCA",0,0,"Camera","2019"
2387,"Big Island","BFISH_2019_F","S02",91.345,"APRU",0,0,"Camera","2019"
2535,"Big Island","BFISH_2019_F","S04",102.285,"ETCA",0,0,"Camera","2019"
2535,"Big Island","BFISH_2019_F","S04",102.285,"PRFI",25.58313333,0.5,"Camera","2019"
2535,"Big Island","BFISH_2019_F","S04",102.285,"PRFI",25.67673333,0.5,"Camera","2019"
2535,"Big Island","BFISH_2019_F","S04",102.285,"ETCO",0,0,"Camera","2019"
2535,"Big Island","BFISH_2019_F","S04",102.285,"PRZO",0,0,"Camera","2019"
2535,"Big Island","BFISH_2019_F","S04",102.285,"APRU",0,0,"Camera","2019"
2535,"Big Island","BFISH_2019_F","S04",102.285,"HYQU",0,0,"Camera","2019"
2535,"Big Island","BFISH_2019_F","S04",102.285,"PRSI",0,0,"Camera","2019"
2606,"Big Island","BFISH_2019_F","S04",92.72,"ETCA",0,0,"Camera","2019"
2606,"Big Island","BFISH_2019_F","S04",92.72,"HYQU",0,0,"Camera","2019"
2606,"Big Island","BFISH_2019_F","S04",92.72,"PRFI",0,0,"Camera","2019"
2606,"Big Island","BFISH_2019_F","S04",92.72,"PRSI",0,0,"Camera","2019"
2606,"Big Island","BFISH_2019_F","S04",92.72,"PRZO",0,0,"Camera","2019"
2606,"Big Island","BFISH_2019_F","S04",92.72,"ETCO",0,0,"Camera","2019"
2606,"Big Island","BFISH_2019_F","S04",92.72,"APRU",0,0,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"ETCA",0,0,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"ETCO",0,0,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"APRU",0,0,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",37.32203333,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",32.94603333,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",32.3203,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",31.89736667,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",33.7509,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",34.28083333,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"HYQU",0,0,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",27.21623333,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",34.491,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",35.1117,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",25.15193333,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",32.4152,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",33.74773333,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",32.17796667,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",32.41713333,0.566666666666667,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRZO",0,0,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRSI",0,0,"Camera","2019"
2700,"Big Island","BFISH_2019_F","S04",94.3475,"PRFI",30.5707,0.566666666666667,"Camera","2019"
3018,"Big Island","BFISH_2019_F","S01",84.585,"ETCO",0,0,"Camera","2019"
3018,"Big Island","BFISH_2019_F","S01",84.585,"PRZO",0,0,"Camera","2019"
3018,"Big Island","BFISH_2019_F","S01",84.585,"HYQU",0,0,"Camera","2019"
3018,"Big Island","BFISH_2019_F","S01",84.585,"ETCA",0,0,"Camera","2019"
3018,"Big Island","BFISH_2019_F","S01",84.585,"PRFI",0,0,"Camera","2019"
3018,"Big Island","BFISH_2019_F","S01",84.585,"APRU",0,0,"Camera","2019"
