"YEAR","BFISH","PSU","STRATA_2020","SAMPLE_DEPTH_M","SPECIES_CD","abund","uabund"
2020,"BFISH_2020_F",3226,"S10",123.9012,"ETCA",0,0
2019,"BFISH_2019_F",12344,"S07",118.9725,"ETCA",0,0
2019,"BFISH_2019_F",641,"S22",242.0874,"ETCA",9.72289742343216,0
2019,"BFISH_2019_F",631,"S22",238.6584,"ETCA",9.72289742343216,0
2019,"BFISH_2019_F",5479,"S20",295.656,"ETCA",0,0
2019,"BFISH_2019_F",15052,"S17",245.0592,"ETCA",0,0
2020,"BFISH_2020_F",9678,"S22",245.6688,"ETCA",9.72289742343216,0
2021,"BFISH_2021_F",12295,"S22",241.8588,"ETCA",3.24096580781072,0
2020,"BFISH_2020_F",11622,"S24",377.6472,"ETCA",0,0
2019,"BFISH_2019_F",11564,"S15",204.1398,"ETCA",8.1024145195268,0
2021,"BFISH_2021_F",15722,"S14",170.85,"ETCA",0,0
2020,"BFISH_2020_F",8508,"S10",117.9576,"ETCA",0,0
2019,"BFISH_2019_F",25197,"S22",242.1636,"ETCA",19.4457948468644,0
2020,"BFISH_2020_F",1704,"S10",138.0744,"ETCA",1.62048290390536,0
2019,"BFISH_2019_F",4464,"S22",242.7825,"ETCA",0,0
2021,"BFISH_2021_F",31144,"S14",219.9132,"ETCA",0,0
2020,"BFISH_2020_F",22780,"S22",305.6382,"ETCA",9.72289742343217,0
2019,"BFISH_2019_F",15034,"S22",224.0675,"ETCA",1.5,0
2020,"BFISH_2020_F",6245,"S22",253.8984,"ETCA",6.48193161562145,0
2020,"BFISH_2020_F",38252,"S07",165.8075,"ETCA",0,0
2019,"BFISH_2019_F",5438,"S22",325.755,"ETCA",8.1024145195268,0
2021,"BFISH_2021_F",14438,"S13",207.5688,"ETCA",0,0
2020,"BFISH_2020_F",8891,"S10",162.306,"ETCA",0,0
2020,"BFISH_2020_F",40576,"S21",280.416,"ETCA",0,0
2021,"BFISH_2021_F",34793,"S06",127.5588,"ETCA",0,0
2020,"BFISH_2020_F",36567,"S10",153.72,"ETCA",0,0
2020,"BFISH_2020_F",14442,"S15",180.1368,"ETCA",0,0
2020,"BFISH_2020_F",44621,"S22",252.6792,"ETCA",6.48193161562144,0
2020,"BFISH_2020_F",12101,"S21",240.1824,"ETCA",14.5843461351482,0
2020,"BFISH_2020_F",21526,"S10",158.97,"ETCA",5.5,0
2021,"BFISH_2021_F",23575,"S21",231.9528,"ETCA",3.24096580781072,0
2020,"BFISH_2020_F",41583,"S22",244.7544,"ETCA",8.1024145195268,0
2021,"BFISH_2021_F",24921,"S22",257.31216,"ETCA",12.9638632312429,0
2019,"BFISH_2019_F",15089,"S14",204.16,"ETCA",0,0
2021,"BFISH_2021_F",39342,"S08",123.9012,"ETCA",0,0
2020,"BFISH_2020_F",10399,"S09",131.6736,"ETCA",0,0
2021,"BFISH_2021_F",2742,"S16",202.311,"ETCA",3.24096580781072,0
2021,"BFISH_2021_F",14930,"S10",139.9032,"ETCA",0,0
2019,"BFISH_2019_F",42488,"S07",118.9075,"ETCA",0,0
2019,"BFISH_2019_F",2008,"S20",255.84912,"ETCA",6.48193161562145,0
2021,"BFISH_2021_F",11766,"S22",253.2888,"ETCA",1.62048290390536,0
2019,"BFISH_2019_F",1050,"S21",228.3714,"ETCA",3.24096580781072,0
2021,"BFISH_2021_F",11191,"S22",273.7104,"ETCA",3.24096580781072,0
2020,"BFISH_2020_F",323,"S16",174.3456,"ETCA",1.62048290390536,0
2019,"BFISH_2019_F",27319,"S10",161.8488,"ETCA",0,0
2019,"BFISH_2019_F",1628,"S15",199.1106,"ETCA",1.62048290390536,0
2021,"BFISH_2021_F",1439,"S22",244.4496,"ETCA",1.62048290390536,0
2021,"BFISH_2021_F",47,"S07",115.2144,"ETCA",0,0
2021,"BFISH_2021_F",24080,"S22",319.4304,"ETCA",3.24096580781072,0
2020,"BFISH_2020_F",14172,"S22",280.2636,"ETCA",0,0
2021,"BFISH_2021_F",1474,"S22",256.9464,"ETCA",12.9638632312429,0
2020,"BFISH_2020_F",13223,"S10",143.1036,"ETCA",0,0
2020,"BFISH_2020_F",42030,"S14",182.5752,"ETCA",0,0
2019,"BFISH_2019_F",2502,"S15",172.8216,"ETCA",1.62048290390536,0
2021,"BFISH_2021_F",4793,"S15",205.4,"ETCA",0,0
2020,"BFISH_2020_F",9571,"S24",331.47,"ETCA",0,0
2019,"BFISH_2019_F",10119,"S24",330.0984,"ETCA",3.24096580781072,0
2021,"BFISH_2021_F",27737,"S17",295.3512,"ETCA",0,0
2021,"BFISH_2021_F",29041,"S18",262.7376,"ETCA",6.48193161562144,0
2019,"BFISH_2019_F",31145,"S13",218.9988,"ETCA",0,0
2021,"BFISH_2021_F",14668,"S10",158.6,"ETCA",0,0
2019,"BFISH_2019_F",33386,"S22",300.1518,"ETCA",8.1024145195268,0
2020,"BFISH_2020_F",24820,"S20",233.6292,"ETCA",12.9638632312429,0
2020,"BFISH_2020_F",13538,"S24",361.188,"ETCA",0,0
2020,"BFISH_2020_F",17489,"S10",150.876,"ETCA",0,0
2019,"BFISH_2019_F",9513,"S17",286.2072,"ETCA",0,0
2021,"BFISH_2021_F",2775,"S07",119.7864,"ETCA",0,0
2020,"BFISH_2020_F",5906,"S20",326.4408,"ETCA",0,0
2021,"BFISH_2021_F",38192,"S07",119.92356,"ETCA",0,0
2020,"BFISH_2020_F",7425,"S20",273.4056,"ETCA",0,0
2020,"BFISH_2020_F",34115,"S22",310.5912,"ETCA",0,0
2021,"BFISH_2021_F",28256,"S19",239.5728,"ETCA",1.62048290390536,0
2019,"BFISH_2019_F",11479,"S20",224.4852,"ETCA",9.72289742343216,0
2019,"BFISH_2019_F",16068,"S08",134.46,"ETCA",0,0
2021,"BFISH_2021_F",12059,"S22",258.7752,"ETCA",3.24096580781072,0
2020,"BFISH_2020_F",22825,"S05",139.78128,"ETCA",0,0
2019,"BFISH_2019_F",34058,"S14",190.1952,"ETCA",0,0
2020,"BFISH_2020_F",9544,"S05",161.8488,"ETCA",0,0
2019,"BFISH_2019_F",43341,"S20",319.1256,"ETCA",4.86144871171608,0
2019,"BFISH_2019_F",8661,"S24",340.1568,"ETCA",0,0
2019,"BFISH_2019_F",8005,"S07",132.1308,"ETCA",0,0
2019,"BFISH_2019_F",14583,"S10",110.0025,"ETCA",0,0
2021,"BFISH_2021_F",12069,"S14",171.35,"ETCA",0,0
2020,"BFISH_2020_F",38089,"S08",134.8075,"ETCA",0,0
2019,"BFISH_2019_F",38642,"S20",235.9152,"ETCA",0,0
2020,"BFISH_2020_F",3025,"S22",256.9464,"ETCA",0,0
2020,"BFISH_2020_F",38250,"S17",223.5708,"ETCA",0,0
2021,"BFISH_2021_F",44587,"S16",212.3694,"ETCA",11.3433803273375,0
2019,"BFISH_2019_F",9675,"S22",233.1475,"ETCA",0,0
2020,"BFISH_2020_F",12258,"S10",139.9032,"ETCA",0,0
2021,"BFISH_2021_F",6769,"S23",349.3008,"ETCA",0,0
2021,"BFISH_2021_F",41191,"S10",143.256,"ETCA",0,0
2020,"BFISH_2020_F",45426,"S17",285.5976,"ETCA",0,0
2020,"BFISH_2020_F",9945,"S18",234.0864,"ETCA",1.62048290390536,0
2019,"BFISH_2019_F",41841,"S16",190.37808,"ETCA",9.72289742343218,0
2020,"BFISH_2020_F",11211,"S10",111.5568,"ETCA",0,0
2020,"BFISH_2020_F",8102,"S17",237.744,"ETCA",0,0
2019,"BFISH_2019_F",16001,"S10",150.4725,"ETCA",0,0
2020,"BFISH_2020_F",23677,"S08",124.6632,"ETCA",0,0
2020,"BFISH_2020_F",15724,"S14",173.4312,"ETCA",0,0
2021,"BFISH_2021_F",18191,"S10",164.1348,"ETCA",0,0
2020,"BFISH_2020_F",45438,"S16",170.0784,"ETCA",0,0
2019,"BFISH_2019_F",33024,"S07",142.1892,"ETCA",0,0
2019,"BFISH_2019_F",36603,"S15",187.31484,"ETCA",0,0
2020,"BFISH_2020_F",41444,"S10",130.7592,"ETCA",0,0
2021,"BFISH_2021_F",4920,"S24",345.6432,"ETCA",0,0
2019,"BFISH_2019_F",37531,"S20",264.2616,"ETCA",0,0
2019,"BFISH_2019_F",34941,"S19",262.4328,"ETCA",0,0
2019,"BFISH_2019_F",5447,"S12",115.085,"ETCA",0,0
2020,"BFISH_2020_F",38350,"S22",277.24608,"ETCA",3.24096580781072,0
2020,"BFISH_2020_F",611,"S16",214.1982,"ETCA",6.48193161562145,0
2019,"BFISH_2019_F",45524,"S24",340.1568,"ETCA",0,0
2020,"BFISH_2020_F",4076,"S11",149.6568,"ETCA",0,0
2019,"BFISH_2019_F",710,"S22",224.9424,"ETCA",3.24096580781072,0
2020,"BFISH_2020_F",38358,"S22",291.0078,"ETCA",8.1024145195268,0
2021,"BFISH_2021_F",5121,"S10",121.3,"ETCA",0,0
