"mod","y"
10115.083266218,1
9845.44169563446,1.1
9566.14681891038,1.2
9280.00064476285,1.3
8989.58869744904,1.4
8697.25237532973,1.5
8405.07391905885,1.6
8114.87215645243,1.7
7828.20699638071,1.8
7546.39064080814,1.9
7270.50361880012,2
7001.41396813928,2.1
6739.79815605742,2.2
6486.16260722317,2.3
6240.86497120289,2.4
6004.13449862314,2.5
5776.09109778712,2.6
5556.76280934805,2.7
5346.10156715826,2.8
5143.99721205272,2.9
4950.28979659569,3
4764.78026752235,3.1
4587.23964335829,3.2
4417.41682164851,3.3
4255.04515692855,3.4
4099.84794995566,3.5
3951.5429831257,3.6
3809.84622824467,3.7
3674.47484226487,3.8
3545.14955522866,3.9
3421.59654318986,4
3303.54886777473,4.1
3190.74755360248,4.2
3082.94236518145,4.3
2979.89233621187,4.4
2881.36609647785,4.5
2787.14203467332,4.6
2697.00832952796,4.7
2610.76287641192,4.8
2528.21313212715,4.9
2449.17589676236,5
2373.47704822308,5.1
2300.95124227763,5.2
2231.44158861894,5.3
2164.7993114725,5.4
2100.88340162986,5.5
2039.56026540785,5.6
1980.703374887,5.7
1924.19292283131,5.8
1869.91548490681,5.9
1817.7636911706,6
1767.63590827423,6.1
1719.43593339505,6.2
1673.0727005611,6.3
1628.45999975519,6.4
1585.51620896073,6.5
1544.16403913538,6.6
1504.33029196078,6.7
1465.94563011102,6.8
1428.94435970241,6.9
1393.26422452878,7
1358.84621164508,7.1
1325.63436783479,7.2
1293.57562648064,7.3
1262.61964435073,7.4
1232.71864781205,7.5
1203.82728798876,7.6
1175.90250439207,7.7
1148.90339656127,7.8
1122.79110327053,7.9
1097.52868887272,8
1073.08103636935,8.1
1049.41474681413,8.2
1026.49804467632,8.3
1004.30068880886,8.4
982.793888684763,8.5
961.950225583383,8.6
941.743578425941,8.7
922.149053976693,8.8
903.142921142617,8.9
884.702549120208,9
866.806349153056,9.1
849.433719678106,9.2
832.564994652163,9.3
816.18139486297,9.4
800.264982041387,9.5
784.798615602652,9.6
769.765911855462,9.7
755.151205527817,9.8
740.93951346807,9.9
727.11650038862,10
713.668446528075,10.1
700.582217115596,10.2
687.845233528523,10.3
675.445446041302,10.4
663.371308070198,10.5
651.611751824337,10.6
640.156165279304,10.7
628.994370394804,10.8
618.116602502853,10.9
607.513490797619,11
597.176039862325,11.1
587.095612172729,11.2
577.263911520423,11.3
567.672967302773,11.4
558.315119629617,11.5
549.183005199915,11.6
