"YEAR","BFISH","PSU","STRATA_2020","SAMPLE_DEPTH_M","SPECIES_CD","abund","uabund"
2020,"BFISH_2020_F",6042,"S24",342.9,"ETCO",0,0
2020,"BFISH_2020_F",22780,"S22",305.6382,"ETCO",7.60070939954396,0
2021,"BFISH_2021_F",8328,"S20",320.9544,"ETCO",0,0
2020,"BFISH_2020_F",11728,"S22",281.178,"ETCO",5.06713959969598,0
2020,"BFISH_2020_F",43017,"S16",180.7464,"ETCO",0,0
2022,"BFISH_2022_F",13213,"S15",207.9,"ETCO",0,0
2020,"BFISH_2020_F",45426,"S17",285.5976,"ETCO",0,0
2021,"BFISH_2021_F",39021,"S20",307.2384,"ETCO",0,0
2021,"BFISH_2021_F",6924,"S21",250.317,"ETCO",0,0
2022,"BFISH_2022_F",26219,"S13",209.3976,"ETCO",0,0
2021,"BFISH_2021_F",24921,"S22",257.31216,"ETCO",2.53356979984799,0
2020,"BFISH_2020_F",44366,"S13",186.2328,"ETCO",0,0
2021,"BFISH_2021_F",31883,"S23",333.756,"ETCO",0,0
2020,"BFISH_2020_F",33107,"S16",202.20432,"ETCO",0,0
2022,"BFISH_2022_F",15975,"S15",197.1,"ETCO",0,0
2020,"BFISH_2020_F",7153,"S20",251.46,"ETCO",0,0
2021,"BFISH_2021_F",15029,"S22",232.8672,"ETCO",0,0
2020,"BFISH_2020_F",23468,"S14",200.7108,"ETCO",0,0
2021,"BFISH_2021_F",40108,"S21",270.9672,"ETCO",0,0
2021,"BFISH_2021_F",28335,"S23",352.9584,"ETCO",0,0
2021,"BFISH_2021_F",13812,"S22",264.2616,"ETCO",2.53356979984799,0
2021,"BFISH_2021_F",11114,"S22",255.5748,"ETCO",0,0
2022,"BFISH_2022_F",43109,"S16",193,"ETCO",0,0
2020,"BFISH_2020_F",37147,"S20",308.61,"ETCO",0,0
2020,"BFISH_2020_F",11571,"S20",279.8064,"ETCO",0,0
2021,"BFISH_2021_F",30461,"S23",332.8416,"ETCO",0,0
2020,"BFISH_2020_F",12541,"S13",201.6252,"ETCO",0,0
2021,"BFISH_2021_F",43798,"S20",320.04,"ETCO",0,0
2022,"BFISH_2022_F",247,"S16",184.2516,"ETCO",0,0
2020,"BFISH_2020_F",42849,"S20",245.0592,"ETCO",0,0
2020,"BFISH_2020_F",8358,"S15",200.2536,"ETCO",0,0
2021,"BFISH_2021_F",40012,"S21",244.3734,"ETCO",5.06713959969598,0
2021,"BFISH_2021_F",6527,"S22",303.276,"ETCO",0,0
2020,"BFISH_2020_F",17416,"S20",274.32,"ETCO",0,0
2020,"BFISH_2020_F",23345,"S14",195.6816,"ETCO",0,0
2022,"BFISH_2022_F",28248,"S14",217.45,"ETCO",0,0
2021,"BFISH_2021_F",44209,"S20",308.1528,"ETCO",0,0
2020,"BFISH_2020_F",25502,"S22",268.605,"ETCO",15.2014187990879,0
2020,"BFISH_2020_F",9880,"S18",247.3452,"ETCO",0,0
2020,"BFISH_2020_F",40059,"S14",203.9112,"ETCO",0,0
2020,"BFISH_2020_F",611,"S16",214.1982,"ETCO",0,0
2021,"BFISH_2021_F",13569,"S22",260.604,"ETCO",2.53356979984799,0
2021,"BFISH_2021_F",1474,"S22",256.9464,"ETCO",0,0
2021,"BFISH_2021_F",24080,"S22",319.4304,"ETCO",0,0
2021,"BFISH_2021_F",39676,"S22",319.1256,"ETCO",0,0
2020,"BFISH_2020_F",3028,"S22",320.9544,"ETCO",0,0
2021,"BFISH_2021_F",26584,"S24",356.616,"ETCO",0,0
2020,"BFISH_2020_F",28543,"S13",187.9092,"ETCO",0,0
2021,"BFISH_2021_F",45210,"S22",272.796,"ETCO",2.53356979984799,0
2021,"BFISH_2021_F",40376,"S22",310.896,"ETCO",0,0
2021,"BFISH_2021_F",2377,"S22",230.124,"ETCO",0,0
2021,"BFISH_2021_F",38086,"S14",198.882,"ETCO",0,0
2021,"BFISH_2021_F",11769,"S22",235.9152,"ETCO",0,0
2020,"BFISH_2020_F",24927,"S22",254.2032,"ETCO",15.2014187990879,0
2020,"BFISH_2020_F",41986,"S13",189.738,"ETCO",0,0
2022,"BFISH_2022_F",42794,"S17",257.556,"ETCO",0,0
2020,"BFISH_2020_F",45499,"S13",180.1368,"ETCO",0,0
2020,"BFISH_2020_F",23982,"S20",284.3784,"ETCO",0,0
2021,"BFISH_2021_F",14050,"S22",231.3432,"ETCO",0,0
2020,"BFISH_2020_F",9014,"S15",183.1086,"ETCO",0,0
2020,"BFISH_2020_F",19111,"S22",327.66,"ETCO",0,0
2021,"BFISH_2021_F",40070,"S22",308.1528,"ETCO",0,0
2021,"BFISH_2021_F",40528,"S21",230.886,"ETCO",2.53356979984799,0
2021,"BFISH_2021_F",14052,"S22",239.5728,"ETCO",0,0
2021,"BFISH_2021_F",10067,"S22",301.752,"ETCO",0,0
2020,"BFISH_2020_F",3175,"S21",255.5748,"ETCO",0,0
2021,"BFISH_2021_F",32760,"S20",313.6392,"ETCO",0,0
2020,"BFISH_2020_F",38350,"S22",277.24608,"ETCO",2.53356979984799,0
2022,"BFISH_2022_F",42415,"S17",238.6584,"ETCO",0,0
2022,"BFISH_2022_F",10314,"S14",217.6272,"ETCO",0,0
2020,"BFISH_2020_F",39320,"S20",247.1928,"ETCO",0,0
2022,"BFISH_2022_F",43962,"S15",197.2056,"ETCO",0,0
2022,"BFISH_2022_F",1730,"S16",218.8464,"ETCO",0,0
2020,"BFISH_2020_F",11834,"S21",298.5516,"ETCO",0,0
2022,"BFISH_2022_F",6481,"S15",203.454,"ETCO",0,0
2020,"BFISH_2020_F",25799,"S20",271.272,"ETCO",0,0
2020,"BFISH_2020_F",5906,"S20",326.4408,"ETCO",0,0
2021,"BFISH_2021_F",27007,"S14",200.2536,"ETCO",0,0
2022,"BFISH_2022_F",1734,"S16",210.25,"ETCO",0,0
2021,"BFISH_2021_F",34378,"S20",281.6352,"ETCO",0,0
2021,"BFISH_2021_F",339,"S16",191.1096,"ETCO",0,0
2020,"BFISH_2020_F",5242,"S21",226.4664,"ETCO",0,0
2021,"BFISH_2021_F",21779,"S16",200.8632,"ETCO",0,0
2020,"BFISH_2020_F",7425,"S20",273.4056,"ETCO",0,0
2021,"BFISH_2021_F",1413,"S22",232.8672,"ETCO",0,0
2021,"BFISH_2021_F",14139,"S24",331.0128,"ETCO",0,0
2020,"BFISH_2020_F",6520,"S24",353.4156,"ETCO",0,0
2021,"BFISH_2021_F",41353,"S22",224.028,"ETCO",0,0
2022,"BFISH_2022_F",1625,"S16",198.4248,"ETCO",0,0
2021,"BFISH_2021_F",11191,"S22",273.7104,"ETCO",5.06713959969598,0
2020,"BFISH_2020_F",15951,"S14",191.5668,"ETCO",0,0
2020,"BFISH_2020_F",43058,"S24",336.9564,"ETCO",0,0
2020,"BFISH_2020_F",7484,"S20",293.5224,"ETCO",0,0
2021,"BFISH_2021_F",11196,"S22",302.6664,"ETCO",0,0
2021,"BFISH_2021_F",11564,"S21",256.032,"ETCO",0,0
2021,"BFISH_2021_F",14901,"S22",245.6688,"ETCO",0,0
2022,"BFISH_2022_F",38251,"S13",216.9,"ETCO",0,0
2021,"BFISH_2021_F",11042,"S22",243.2304,"ETCO",0,0
2021,"BFISH_2021_F",42955,"S22",231.0384,"ETCO",0,0
2021,"BFISH_2021_F",42849,"S20",249.3264,"ETCO",0,0
2021,"BFISH_2021_F",38413,"S22",288.9504,"ETCO",0,0
2020,"BFISH_2020_F",14763,"S22",235.458,"ETCO",0,0
2021,"BFISH_2021_F",27016,"S15",185.07456,"ETCO",0,0
2021,"BFISH_2021_F",6714,"S20",285.75,"ETCO",0,0
2022,"BFISH_2022_F",26565,"S18",265.176,"ETCO",0,0
2020,"BFISH_2020_F",33233,"S22",281.94,"ETCO",0,0
2021,"BFISH_2021_F",6276,"S20",306.324,"ETCO",0,0
2021,"BFISH_2021_F",11764,"S22",249.6312,"ETCO",0,0
2020,"BFISH_2020_F",8111,"S20",259.3848,"ETCO",0,0
2020,"BFISH_2020_F",43691,"S15",198.12,"ETCO",0,0
2020,"BFISH_2020_F",8240,"S20",222.1992,"ETCO",0,0
2020,"BFISH_2020_F",42030,"S14",182.5752,"ETCO",0,0
2020,"BFISH_2020_F",39978,"S20",310.4388,"ETCO",0,0
2020,"BFISH_2020_F",42851,"S14",193.6242,"ETCO",0,0
2021,"BFISH_2021_F",11875,"S22",239.5728,"ETCO",2.53356979984799,0
2022,"BFISH_2022_F",33360,"S15",181.9656,"ETCO",0,0
2021,"BFISH_2021_F",7150,"S20",227.6856,"ETCO",0,0
2020,"BFISH_2020_F",6231,"S23",341.9856,"ETCO",0,0
2020,"BFISH_2020_F",4693,"S24",331.0128,"ETCO",0,0
2020,"BFISH_2020_F",36468,"S20",275.2344,"ETCO",0,0
2020,"BFISH_2020_F",30260,"S19",285.2928,"ETCO",2.53356979984799,0
2021,"BFISH_2021_F",31770,"S24",349.3008,"ETCO",0,0
2021,"BFISH_2021_F",17701,"S20",312.7248,"ETCO",0,0
2021,"BFISH_2021_F",33914,"S22",257.8608,"ETCO",0,0
2021,"BFISH_2021_F",3780,"S24",343.8144,"ETCO",0,0
2020,"BFISH_2020_F",45272,"S22",251.46,"ETCO",12.66784899924,0
2022,"BFISH_2022_F",9492,"S13",192.024,"ETCO",0,0
2022,"BFISH_2022_F",1564,"S16",196.85,"ETCO",0,0
2020,"BFISH_2020_F",50,"S22",281.6352,"ETCO",0,0
2021,"BFISH_2021_F",4769,"S24",339.2424,"ETCO",0,0
2022,"BFISH_2022_F",4212,"S15",183.1848,"ETCO",0,0
2020,"BFISH_2020_F",8094,"S14",186.5376,"ETCO",0,0
2021,"BFISH_2021_F",8307,"S20",240.9444,"ETCO",0,0
2022,"BFISH_2022_F",25519,"S16",205.3,"ETCO",0,0
2020,"BFISH_2020_F",2165,"S16",188.3664,"ETCO",0,0
2021,"BFISH_2021_F",12059,"S22",258.7752,"ETCO",10.134279199392,0
2020,"BFISH_2020_F",14442,"S15",180.1368,"ETCO",0,0
2021,"BFISH_2021_F",12288,"S22",306.324,"ETCO",2.53356979984799,0
2022,"BFISH_2022_F",26535,"S18",243.2304,"ETCO",0,0
2021,"BFISH_2021_F",5510,"S22",250.2408,"ETCO",0,0
2021,"BFISH_2021_F",23575,"S21",231.9528,"ETCO",0,0
2022,"BFISH_2022_F",199,"S16",213.0552,"ETCO",0,0
2021,"BFISH_2021_F",41276,"S22",259.3848,"ETCO",0,0
2020,"BFISH_2020_F",44486,"S13",189.0522,"ETCO",0,0
2020,"BFISH_2020_F",14023,"S21",309.5244,"ETCO",0,0
2021,"BFISH_2021_F",14763,"S22",247.8024,"ETCO",0,0
2020,"BFISH_2020_F",7477,"S20",235.9152,"ETCO",0,0
2022,"BFISH_2022_F",37289,"S16",185.6,"ETCO",0,0
2021,"BFISH_2021_F",35947,"S22",308.1528,"ETCO",0,0
2021,"BFISH_2021_F",39448,"S17",223.5708,"ETCO",0,0
2021,"BFISH_2021_F",14451,"S15",180.594,"ETCO",0,0
2020,"BFISH_2020_F",35823,"S15",206.1825,"ETCO",0,0
2022,"BFISH_2022_F",40800,"S16",214.6554,"ETCO",7.60070939954397,0
2021,"BFISH_2021_F",6394,"S20",289.8648,"ETCO",0,0
2022,"BFISH_2022_F",30158,"S18",296.7228,"ETCO",0,0
2020,"BFISH_2020_F",19226,"S21",277.0632,"ETCO",0,0
2020,"BFISH_2020_F",38941,"S14",198.882,"ETCO",0,0
2021,"BFISH_2021_F",35361,"S22",298.0944,"ETCO",0,0
2021,"BFISH_2021_F",13446,"S22",263.9568,"ETCO",2.53356979984799,0
2021,"BFISH_2021_F",11872,"S21",253.2888,"ETCO",0,0
2020,"BFISH_2020_F",17702,"S20",283.9212,"ETCO",0,0
2022,"BFISH_2022_F",31974,"S15",194.9958,"ETCO",0,0
2020,"BFISH_2020_F",26089,"S22",228.1428,"ETCO",0,0
2020,"BFISH_2020_F",40077,"S16",215.1888,"ETCO",0,0
2020,"BFISH_2020_F",45364,"S13",204.8256,"ETCO",0,0
2021,"BFISH_2021_F",13195,"S22",270.6624,"ETCO",5.06713959969598,0
2021,"BFISH_2021_F",17761,"S21",329.6412,"ETCO",0,0
2021,"BFISH_2021_F",21780,"S16",198.4248,"ETCO",0,0
2021,"BFISH_2021_F",8466,"S24",350.2152,"ETCO",0,0
2021,"BFISH_2021_F",7101,"S20",240.4872,"ETCO",0,0
2021,"BFISH_2021_F",13934,"S22",235.9152,"ETCO",0,0
2020,"BFISH_2020_F",26092,"S22",248.412,"ETCO",10.134279199392,0
2022,"BFISH_2022_F",11627,"S19",265.176,"ETCO",5.06713959969598,0
2020,"BFISH_2020_F",17688,"S22",235.9152,"ETCO",0,0
2020,"BFISH_2020_F",7744,"S20",267.462,"ETCO",0,0
2021,"BFISH_2021_F",38362,"S22",292.608,"ETCO",0,0
2020,"BFISH_2020_F",9436,"S20",299.0088,"ETCO",0,0
2021,"BFISH_2021_F",33108,"S22",281.6352,"ETCO",0,0
2020,"BFISH_2020_F",8493,"S19",251.46,"ETCO",0,0
2022,"BFISH_2022_F",9895,"S19",231.8004,"ETCO",0,0
2020,"BFISH_2020_F",9792,"S20",280.7208,"ETCO",0,0
2021,"BFISH_2021_F",4765,"S24",333.756,"ETCO",0,0
2022,"BFISH_2022_F",10883,"S20",316.3824,"ETCO",0,0
