"mod","y"
2838.60610140531,1
2823.91870450128,1.1
2808.00591715094,1.2
2790.91157788124,1.3
2772.68193717214,1.4
2753.3653628104,1.5
2733.01204105731,1.6
2711.67367678721,1.7
2689.40319560095,1.8
2666.2544507252,1.9
2642.28193728066,2
2617.54051624767,2.1
2592.08515018317,2.2
2565.97065245576,2.3
2539.25145147286,2.4
2511.9813710811,2.5
2484.21342803496,2.6
2455.999647153,2.7
2427.39089452117,2.8
2398.43672886076,2.9
2369.18527095848,3
2339.68309085857,3.1
2309.97511234342,3.2
2280.10453408038,3.3
2250.11276668791,3.4
2220.03938487303,3.5
2189.92209371406,3.6
2159.79670810523,3.7
2129.69714434249,3.8
2099.6554228095,3.9
2069.70168071955,4
2039.86419387813,4.1
2010.16940645339,4.2
1980.64196777299,4.3
1951.30477520593,4.4
1922.17902223449,4.5
1893.28425087251,4.6
1864.63840764131,4.7
1836.25790237137,4.8
1808.15766915633,4.9
1780.35122884383,5
1752.85075250555,5.1
1725.66712538507,5.2
1698.81001087614,5.3
1672.28791413643,5.4
1646.10824499058,5.5
1620.27737982292,5.6
1594.80072220365,5.7
1569.68276203174,5.8
1544.92713301546,5.9
1520.5366683444,6
1496.51345443797,6.1
1472.85888268256,6.2
1449.5736990946,6.3
1426.65805186843,6.4
1404.11153678753,6.5
1381.93324049446,6.6
1360.12178162988,6.7
1338.67534986344,6.8
1317.59174285049,6.9
1296.86840115728,7
1276.50244120531,7.1
1256.49068629118,7.2
1236.82969574366,7.3
1217.51579228292,7.4
1198.54508765024,7.5
1179.91350657784,7.6
1161.61680917013,7.7
1143.65061176776,7.8
1126.01040636597,7.9
1108.69157865818,8
1091.68942477468,8.1
1074.99916678488,8.2
1058.61596703035,8.3
1042.53494135347,8.4
1026.75117128495,8.5
1011.25971525121,8.6
996.055618860077,8.7
981.133924321423,8.8
966.489679056484,8.9
952.117943547553,9
938.01379847718,9.1
924.172351203708,9.2
910.588741617578,9.3
897.258147420596,9.4
884.175788868053,9.5
871.336933011468,9.6
858.736897477555,9.7
846.371053817019,9.8
834.234830454805,9.9
822.323715271528,10
810.633257844049,10.1
799.159071371376,10.2
787.896834310499,10.3
776.842291745132,10.4
765.991256508912,10.5
755.339610083145,10.6
744.883303287901,10.7
734.618356783962,10.8
724.540861401953,10.9
714.646978313861,11
704.932939061101,11.1
695.395045452251,11.2
686.029669342702,11.3
676.833252307538,11.4
667.802305218166,11.5
658.933407732431,11.6
650.223207707229,11.7
641.668420541958,11.8
633.265828460509,11.9
625.012279738905,12
616.90468788515,12.1
608.940030777326,12.2
601.115349765508,12.3
593.427748742602,12.4
585.874393188806,12.5
578.45250919401,12.6
571.159382462062,12.7
563.992357300541,12.8
556.948835599315,12.9
550.026275800896,13
543.222191865361,13.1
536.534152232289,13.2
529.959778782028,13.3
523.496745798297,13.4
517.142778934011,13.5
510.895654181981,13.6
504.753196851994,13.7
498.713280555625,13.8
492.773826199981,13.9
486.932800991443,14
481.188217450364,14.1
475.538132437545,14.2
469.980646193239,14.3
464.513901389308,14.4
459.136082195086,14.5
453.845413357421,14.6
448.640159295298,14.7
443.518623209358,14.8
438.479146206601,14.9
433.520106440476,15
428.639918266516,15.1
423.83703141365,15.2
419.109930171246,15.3
414.457132591932,15.4
409.877189710199,15.5
405.368684776746,15.6
400.930232508507,15.7
396.560478354292,15.8
392.258097775916,15.9
388.021795544698,16
383.850305053186,16.1
379.742387641943,16.2
375.696831941219,16.3
371.712453227317,16.4
367.788092793468,16.5
363.922617334989,16.6
360.114918348517,16.7
356.363911545093,16.8
352.668536276876,16.9
349.027754977232,17
345.440552613987,17.1
341.90593615558,17.2
338.422934049895,17.3
334.990595715504,17.4
331.607991045099,17.5
328.274209920853,17.6
324.988361741476,17.7
321.749574960705,17.8
318.55699663701,17.9
315.40979199425,18
312.307143993056,18.1
309.248252912698,18.2
306.2323359432,18.3
303.258626787474,18.4
300.326375273243,18.5
297.434846974521,18.6
294.583322842444,18.7
291.771098845209,18.8
288.997485616922,18.9
286.261808115144,19
283.563405286911,19.1
280.901629743034,19.2
278.275847440484,19.3
275.685437372648,19.4
273.129791267278,19.5
270.608313291931,19.6
268.120419766724,19.7
265.665538884223,19.8
263.243110436271,19.9
260.852585547607,20
258.493426416081,20.1
256.165106059322,20.2
253.867108067667,20.3
251.598926363224,20.4
249.360064964893,20.5
247.150037759196,20.6
244.96836827677,20.7
242.814589474389,20.8
240.688243522349,20.9
238.588881597101,21
236.516063678993,21.1
234.469358354977,21.2
232.44834262617,21.3
230.452601720134,21.4
228.481728907754,21.5
226.535325324606,21.6
224.61299979668,21.7
222.714368670368,21.8
220.839055646587,21.9
218.986691618944,22
217.156914515833,22.1
215.349369146365,22.2
213.563707050029,22.3
211.799586349988,22.4
210.056671609922,22.5
208.33463369432,22.6
206.633149632134,22.7
204.951902483712,22.8
203.290581210916,22.9
201.64888055036,23
200.026500889667,23.1
198.423148146683,23.2
196.838533651572,23.3
195.272374031699,23.4
193.724391099262,23.5
192.194311741566,23.6
190.681867813905,23.7
189.186796034964,23.8
187.708837884678,23.9
186.247739504499,24
184.803251599996,24.1
183.375129345737,24.2
181.963132292384,24.3
180.567024275965,24.4
179.186573329241,24.5
177.821551595142,24.6
176.471735242202,24.7
175.136904381943,24.8
173.816842988172,24.9
172.51133881813,25
171.220183335452,25.1
169.943171634889,25.2
168.680102368754,25.3
167.430777675045,25.4
166.1950031072,25.5
164.972587565452,25.6
163.763343229735,25.7
162.567085494105,25.8
161.383632902648,25.9
160.212807086822,26
159.054432704205,26.1
157.908337378626,26.2
156.774351641619,26.3
155.652308875196,26.4
154.542045255883,26.5
153.443399700003,26.6
152.35621381017,26.7
151.280331822966,26.8
150.21560055777,26.9
149.161869366709,27
148.118990085717,27.1
147.086816986653,27.2
146.065206730477,27.3
145.054018321433,27.4
144.053113062239,27.5
143.062354510244,27.6
142.081608434533,27.7
141.11074277396,27.8
140.149627596085,27.9
139.198135056986,28
138.256139361945,28.1
137.323516726965,28.2
136.40014534111,28.3
135.485905329645,28.4
134.580678717967,28.5
133.684349396287,28.6
132.796803085069,28.7
131.91792730119,28.8
131.047611324819,28.9
130.185746166983,29
129.33222453782,29.1
128.486940815485,29.2
127.649791015717,29.3
126.820672762022,29.4
125.999485256491,29.5
125.186129251209,29.6
124.380507020262,29.7
123.582522332311,29.8
122.792080423743,29.9
122.009087972356,30
121.233453071597,30.1
120.465085205313,30.2
119.703895223024,30.3
118.949795315694,30.4
118.20269899199,30.5
117.462521055029,30.6
116.729177579585,30.7
116.002585889756,30.8
115.282664537083,30.9
114.569333279103,31
113.862513058331,31.1
113.162125981658,31.2
112.468095300166,31.3
111.780345389331,31.4
111.09880172963,31.5
110.423390887522,31.6
109.754040496805,31.7
109.090679240341,31.8
108.433236832138,31.9
107.781643999779,32
107.135832467202,32.1
106.495734937801,32.2
105.861285077871,32.3
105.232417500359,32.4
104.609067748939,32.5
103.991172282388,32.6
103.378668459266,32.7
102.771494522884,32.8
102.169589586568,32.9
101.572893619197,33
100.98134743102,33.1
100.394892659738,33.2
99.8134717568602,33.3
99.2370279743037,33.4
98.6655053512576,33.5
98.0988487012884,33.6
97.53700359969,33.7
96.9799163710688,33.8
96.4275340771624,33.9
95.8798045048848,34
95.3366761545933,34.1
94.7980982285748,34.2
94.2640206197431,34.3
93.7343939005472,34.4
93.2091693120824,34.5
92.688298753402,34.6
92.1717347710262,34.7
91.6594305486411,34.8
91.1513398969874,34.9
90.6474172439326,35
90.1476176247237,35.1
89.6518966724169,35.2
89.1602106084806,35.3
88.6725162335673,35.4
88.1887709184525,35.5
87.7089325951365,35.6
87.2329597481049,35.7
86.7608114057466,35.8
86.2924471319236,35.9
85.8278270176925,36
85.366911673172,36.1
84.9096622195548,36.2
84.4560402812614,36.3
84.0060079782311,36.4
83.5595279183504,36.5
83.1165631900132,36.6
82.6770773548116,36.7
82.2410344403556,36.8
81.8083989332163,36.9
81.3791357719936,37
80.9532103405036,37.1
80.5305884610844,37.2
80.1112363880174,37.3
79.6951208010621,37.4
79.2822087991029,37.5
78.8724678939043,37.6
78.4658660039736,37.7
78.0623714485282,37.8
77.6619529415669,37.9
77.2645795860404,38
76.870220868123,38.1
