"YEAR","BFISH","PSU","STRATA_2020","SAMPLE_DEPTH_M","SPECIES_CD","abund","uabund"
2020,"BFISH_2020_F",7129,"S14",183.7944,"PRFI",0,0
2020,"BFISH_2020_F",40018,"S09",133.12,"PRFI",1,0
2021,"BFISH_2021_F",39862,"S12",150.2664,"PRFI",0,0
2020,"BFISH_2020_F",3506,"S10",114.3,"PRFI",2.89100896212778,0
2021,"BFISH_2021_F",14438,"S13",207.5688,"PRFI",0,0
2019,"BFISH_2019_F",1352,"S16",170.9928,"PRFI",2.89100896212778,0
2019,"BFISH_2019_F",36184,"S02",84.0025,"PRFI",0,0
2019,"BFISH_2019_F",15407,"S02",81.8388,"PRFI",0,0
2019,"BFISH_2019_F",9479,"S07",119.095,"PRFI",0,0
2021,"BFISH_2021_F",16806,"S01",109.728,"PRFI",0,0
2019,"BFISH_2019_F",524,"S22",222.1992,"PRFI",5.78201792425556,0
2019,"BFISH_2019_F",108,"S11",158.8008,"PRFI",0,0
2021,"BFISH_2021_F",39508,"S11",154.588464,"PRFI",14.4550448106389,0
2019,"BFISH_2019_F",12825,"S15",206.2725,"PRFI",0,0
2021,"BFISH_2021_F",43378,"S11",136.5504,"PRFI",0,0
2020,"BFISH_2020_F",34646,"S06",147.72,"PRFI",8,0
2021,"BFISH_2021_F",40622,"S01",93.726,"PRFI",0,0
2021,"BFISH_2021_F",9885,"S16",219.456,"PRFI",0,0
2020,"BFISH_2020_F",34489,"S02",83.1575,"PRFI",0,0
2019,"BFISH_2019_F",9008,"S02",107.5325,"PRFI",0.5,0
2019,"BFISH_2019_F",42488,"S07",118.9075,"PRFI",0,0
2021,"BFISH_2021_F",22808,"S01",106.9848,"PRFI",0,0
2020,"BFISH_2020_F",32120,"S08",114.3,"PRFI",0,0
2019,"BFISH_2019_F",20796,"S20",229.5144,"PRFI",0,0
2021,"BFISH_2021_F",4225,"S01",108.8136,"PRFI",0,0
2021,"BFISH_2021_F",10398,"S09",131.6,"PRFI",7,0
2019,"BFISH_2019_F",13214,"S21",227.845,"PRFI",0,0
2020,"BFISH_2020_F",38795,"S14",171.495,"PRFI",0.5,0
2019,"BFISH_2019_F",710,"S22",224.9424,"PRFI",0,0
2019,"BFISH_2019_F",4603,"S13",198.4725,"PRFI",6,0
2020,"BFISH_2020_F",22765,"S10",144.595,"PRFI",11,0
2021,"BFISH_2021_F",7590,"S02",106.3752,"PRFI",46.2561433940445,0
2019,"BFISH_2019_F",14437,"S13",199.6575,"PRFI",0,0
2019,"BFISH_2019_F",24333,"S08",115.7875,"PRFI",17,0
2020,"BFISH_2020_F",12546,"S07",151.7904,"PRFI",2.89100896212778,0
2019,"BFISH_2019_F",38868,"S07",121.6152,"PRFI",0,0
2019,"BFISH_2019_F",15969,"S02",103.345,"PRFI",1.5,0
2021,"BFISH_2021_F",16179,"S05",129.8,"PRFI",0,0
2019,"BFISH_2019_F",40709,"S14",187.1472,"PRFI",0,0
2020,"BFISH_2020_F",101,"S01",82.11312,"PRFI",5.78201792425556,0
2019,"BFISH_2019_F",15052,"S17",245.0592,"PRFI",0,0
2021,"BFISH_2021_F",47,"S07",115.2144,"PRFI",0,0
2019,"BFISH_2019_F",2700,"S04",94.3475,"PRFI",8.50000000000001,0
2019,"BFISH_2019_F",22314,"S01",107.335,"PRFI",0,0
2021,"BFISH_2021_F",2019,"S12",141.1224,"PRFI",23.1280716970222,0
2021,"BFISH_2021_F",9519,"S11",151.8,"PRFI",0,0
2021,"BFISH_2021_F",25236,"S07",135.3312,"PRFI",8.67302688638334,0
2020,"BFISH_2020_F",41611,"S05",160.7058,"PRFI",0,0
2020,"BFISH_2020_F",5819,"S02",99.9744,"PRFI",0,0
2019,"BFISH_2019_F",43464,"S05",112.36,"PRFI",2.5,0
2019,"BFISH_2019_F",31145,"S13",218.9988,"PRFI",0,0
2021,"BFISH_2021_F",4314,"S10",120.3,"PRFI",2.5,0
2019,"BFISH_2019_F",4439,"S01",92.5325,"PRFI",0,0
2021,"BFISH_2021_F",3802,"S12",130.35,"PRFI",0,0
2019,"BFISH_2019_F",1232,"S02",91.2114,"PRFI",11.5640358485111,0
2021,"BFISH_2021_F",2123,"S02",102.75,"PRFI",0,0
2019,"BFISH_2019_F",631,"S22",238.6584,"PRFI",0,0
2021,"BFISH_2021_F",21777,"S03",98.65,"PRFI",0,0
2019,"BFISH_2019_F",44532,"S11",145.0975,"PRFI",7.99999999999999,0
2020,"BFISH_2020_F",4722,"S05",117.0432,"PRFI",0,0
2020,"BFISH_2020_F",8715,"S10",128.9304,"PRFI",23.1280716970223,0
2019,"BFISH_2019_F",40747,"S14",210.0072,"PRFI",0,0
2021,"BFISH_2021_F",32293,"S07",123.4,"PRFI",0,0
2019,"BFISH_2019_F",3451,"S11",159.6475,"PRFI",0.5,0
2019,"BFISH_2019_F",18470,"S11",120.2436,"PRFI",20.2370627348945,0
2019,"BFISH_2019_F",4464,"S22",242.7825,"PRFI",0,0
2019,"BFISH_2019_F",25197,"S22",242.1636,"PRFI",0,0
2020,"BFISH_2020_F",41035,"S22",220.0656,"PRFI",0,0
2019,"BFISH_2019_F",5375,"S09",140.3475,"PRFI",0,0
2021,"BFISH_2021_F",14050,"S22",231.3432,"PRFI",0,0
2020,"BFISH_2020_F",40202,"S22",247.4976,"PRFI",0,0
2019,"BFISH_2019_F",41692,"S01",85.3475,"PRFI",0,0
2020,"BFISH_2020_F",40746,"S10",161.544,"PRFI",0,0
2019,"BFISH_2019_F",3018,"S01",84.585,"PRFI",0,0
2019,"BFISH_2019_F",15480,"S10",152.8475,"PRFI",1.5,0
2020,"BFISH_2020_F",32703,"S07",127.83312,"PRFI",17.3460537727667,0
2019,"BFISH_2019_F",32421,"S08",166.2725,"PRFI",12,0
2021,"BFISH_2021_F",34072,"S04",93.2688,"PRFI",0,0
2020,"BFISH_2020_F",39862,"S12",155.1432,"PRFI",8.67302688638334,0
2021,"BFISH_2021_F",24978,"S05",156.6,"PRFI",0,0
2020,"BFISH_2020_F",16076,"S07",124.3584,"PRFI",0,0
2020,"BFISH_2020_F",2931,"S02",105.4608,"PRFI",20.2370627348945,0
2021,"BFISH_2021_F",23843,"S09",130.55,"PRFI",7,0
2019,"BFISH_2019_F",40580,"S22",257.8608,"PRFI",0,0
2021,"BFISH_2021_F",15718,"S07",139.446,"PRFI",0,0
2021,"BFISH_2021_F",25232,"S16",203.9112,"PRFI",0,0
2020,"BFISH_2020_F",12059,"S22",247.4976,"PRFI",0,0
2021,"BFISH_2021_F",299,"S02",107.442,"PRFI",0,0
2019,"BFISH_2019_F",27319,"S10",161.8488,"PRFI",0,0
2019,"BFISH_2019_F",12569,"S07",141.6475,"PRFI",13.5,0
2021,"BFISH_2021_F",19119,"S02",80.9244,"PRFI",0,0
2019,"BFISH_2019_F",36026,"S02",99.44,"PRFI",0,0
2019,"BFISH_2019_F",45136,"S01",84.7725,"PRFI",0,0
2020,"BFISH_2020_F",21093,"S02",109.36224,"PRFI",0,0
2020,"BFISH_2020_F",5809,"S03",90.5256,"PRFI",0,0
2020,"BFISH_2020_F",9126,"S10",143.8656,"PRFI",0,0
2019,"BFISH_2019_F",42228,"S03",93.8784,"PRFI",0,0
2021,"BFISH_2021_F",22266,"S02",98.9,"PRFI",3.5,0
2021,"BFISH_2021_F",14052,"S22",239.5728,"PRFI",0,0
2021,"BFISH_2021_F",16424,"S03",104.6988,"PRFI",0,0
2020,"BFISH_2020_F",36953,"S11",128.9075,"PRFI",0,0
2019,"BFISH_2019_F",12600,"S01",103.0986,"PRFI",0,0
2019,"BFISH_2019_F",12532,"S22",244.602,"PRFI",0,0
2019,"BFISH_2019_F",11203,"S15",219.1512,"PRFI",0,0
2021,"BFISH_2021_F",2073,"S12",133.9596,"PRFI",20.2370627348945,0
2019,"BFISH_2019_F",45279,"S14",208.4832,"PRFI",0,0
2019,"BFISH_2019_F",6367,"S12",162.66,"PRFI",0,0
2021,"BFISH_2021_F",5311,"S09",121.3104,"PRFI",2.89100896212778,0
2020,"BFISH_2020_F",15032,"S22",232.2576,"PRFI",0,0
2021,"BFISH_2021_F",3450,"S12",158.6484,"PRFI",2.89100896212778,0
2019,"BFISH_2019_F",4110,"S11",148.035,"PRFI",1.5,0
2019,"BFISH_2019_F",12095,"S10",159.285,"PRFI",11.5,0
