"mod","y"
6540.22773787521,1
6469.05026460148,1.1
6392.85064639633,1.2
6312.03529585126,1.3
6227.01879331966,1.4
6138.21930758445,1.5
6046.05431039372,1.6
5950.93664419313,1.7
5853.27098687745,1.8
5753.4507422888,1.9
5651.85537106409,2
5548.84816370719,2.1
5444.77444672356,2.2
5339.96020347225,2.3
5234.71108411286,2.4
5129.311773609,2.5
5024.02568307691,2.6
4919.0949276664,2.7
4814.74055342423,2.8
4711.16297599694,2.9
4608.54259535457,3
4507.04055274497,3.1
4406.79959862056,3.2
4307.94504314,3.3
4210.58576388561,3.4
4114.81524852723,3.5
4020.71265320533,3.6
3928.34386032437,3.7
3837.76252218481,3.8
3749.01107940313,3.9
3662.121745351,4
3577.11744987716,4.1
3494.01273736082,4.2
3412.81461568879,4.3
3333.52335406525,4.4
3256.13322866815,4.5
3180.63321607931,4.6
3107.00763515568,4.7
3035.23673859713,4.8
2965.2972559205,4.9
2897.16288988911,5
2830.8047686889,5.1
2766.1918563011,5.2
2703.29132361276,5.3
2642.0688828413,5.4
2582.48908783954,5.5
2524.51560280194,5.6
2468.11144182047,5.7
2413.23918164467,5.8
2359.86114989281,5.9
2307.93959084268,6
2257.43681080694,6.1
2208.31530497058,6.2
2160.53786744137,6.3
2114.06768613848,6.4
2068.86842402239,6.5
2024.9042880513,6.6
1982.14008713683,6.7
1940.54128026479,6.8
1900.07401584624,6.9
1860.70516326943,7
1822.40233753516,7.1
1785.1339177763,7.2
1748.86906038594,7.3
1713.57770740928,7.4
1679.23059078933,7.5
1645.79923299799,7.6
1613.25594452965,7.7
1581.57381868532,7.8
1550.72672403026,7.9
1520.68929486728,8
1491.43692003067,8.1
1462.94573027242,8.2
1435.19258448148,8.3
1408.15505494999,8.4
1381.81141187523,8.5
1356.14060726389,8.6
1331.12225838531,8.7
1306.73663090228,8.8
1282.96462179188,8.9
1259.78774215442,9
1237.18809999559,9.1
1215.14838305556,9.2
1193.65184174823,9.3
1172.6822722649,9.4
1152.22399988842,9.5
1132.26186255669,9.6
1112.78119470791,9.7
1093.76781143433,9.8
1075.20799296645,9.9
1057.08846950485,10
1039.39640641339,10.1
1022.1193897837,10.2
1005.24541237828,10.3
988.762859956741,10.4
972.660497987437,10.5
956.92745874501,10.6
941.553228792423,10.7
926.527636844835,10.8
911.840842011306,10.9
897.483322409363,11
883.445864146535,11.1
869.719550662284,11.2
856.295752423117,11.3
843.166116963222,11.4
830.32255926258,11.5
817.757252454182,11.6
805.462618851822,11.7
793.431321289733,11.8
781.656254765276,11.9
770.130538375842,12
758.84750754113,12.1
747.800706502011,12.2
736.983881087255,12.3
726.390971739513,12.4
716.016106792038,12.5
705.853595987832,12.6
695.897924232986,12.7
686.143745576228,12.8
676.585877406828,12.9
667.219294863214,13
658.039125444859,13.1
649.040643820186,13.2
640.219266823448,13.3
631.570548633751,13.4
623.090176129588,13.5
614.773964412448,13.6
606.617852493299,13.7
598.617899135912,13.8
590.770278851207,13.9
583.071278037004,14
575.517291257753,14.1
568.104817658984,14.2
560.830457511448,14.3
553.690908880045,14.4
546.682964412859,14.5
539.803508245762,14.6
533.049513018225,14.7
526.418036996135,14.8
519.906221297571,14.9
513.511287217648,15
507.230533648678,15.1
501.06133459205,15.2
495.001136758346,15.3
489.04745725238,15.4
483.197881339926,15.5
477.450060293079,15.6
471.801709311256,15.7
466.250605515008,15.8
460.794586009886,15.9
455.431546017748,16
450.159437072947,16.1
444.976265280998,16.2
439.880089637359,16.3
434.869020404102,16.4
429.941217542296,16.5
425.094889198039,16.6
420.328290240143,16.7
415.639720847554,16.8
411.027525144668,16.9
406.490089882766,17
402.02584316589,17.1
397.633253219496,17.2
393.310827200337,17.3
389.057110046058,17.4
384.870683363052,17.5
380.750164351189,17.6
376.694204764072,17.7
372.701489903535,17.8
368.770737647145,17.9
364.90069750752,18
361.090149722313,18.1
357.337904373772,18.2
353.642800536803,18.3
350.00370545454,18.4
346.419513740426,18.5
342.889146605867,18.6
339.411551112568,18.7
335.985699448666,18.8
332.610588227825,18.9
329.285237810498,19
326.008691646571,19.1
322.780015638644,19.2
319.598297525241,19.3
316.462646283248,19.4
313.372191548917,19.5
310.326083056807,19.6
307.323490096027,19.7
304.363600983209,19.8
301.445622551621,19.9
298.568779655892,20
295.732314691798,20.1
292.935487130613,20.2
290.177573067532,20.3
287.457864783691,20.4
284.775670321331,20.5
282.130313071663,20.6
279.521131375014,20.7
276.947478132851,20.8
274.40872043128,20.9
271.904239175649,21
269.433428735889,21.1
266.995696602243,21.2
264.590463051035,21.3
262.217160820161,21.4
259.875234793988,21.5
257.56414169735,21.6
255.283349798342,21.7
253.032338619655,21.8
250.810598658144,21.9
248.617631112391,22
246.452947618002,22.1
244.316069990383,22.2
242.206529974779,22.3
240.12386900332,22.4
238.06763795888,22.5
236.037396945517,22.6
234.032715065299,22.7
232.053170201311,22.8
230.098348806657,22.9
228.167845699265,23
226.261263862319,23.1
224.378214250152,23.2
222.518315599419,23.3
220.681194245399,23.4
218.866483943267,23.5
217.073825694188,23.6
215.302867576076,23.7
213.553264578896,23.8
211.824678444355,23.9
210.116777509861,24
208.429236556622,24.1
206.761736661747,24.2
205.11396505426,24.3
203.485614974881,24.4
201.876385539479,24.5
200.285981606086,24.6
198.714113645369,24.7
197.160497614452,24.8
195.624854834003,24.9
194.10691186848,25
192.606400409446,25.1
191.123057161875,25.2
189.656623733346,25.3
188.206846526059,25.4
186.773476631579,25.5
185.356269728242,25.6
183.954985981136,25.7
182.569389944591,25.8
181.19925046711,25.9
179.844340598663,26
178.504437500282,26.1
177.179322355902,26.2
175.868780286366,26.3
174.572600265556,26.4
173.290575038568,26.5
172.022501041897,26.6
170.768178325559,26.7
169.527410477111,26.8
168.300004547502,26.9
167.08577097872,27
165.884523533175,27.1
164.696079224777,27.2
163.520258251664,27.3
162.356883930526,27.4
161.205782632498,27.5
160.066783720561,27.6
158.939719488433,27.7
157.824425100886,27.8
156.720738535471,27.9
155.628500525603,28
154.547554504976,28.1
153.477746553266,28.2
152.418925343092,28.3
151.370942088212,28.4
150.333650492898,28.5
149.306906702483,28.6
148.290569255039,28.7
147.284499034156,28.8
146.288559222797,28.9
145.302615258197,29
144.326534787789,29.1
143.360187626117,29.2
142.403445712717,29.3
141.456183070955,29.4
140.518275767764,29.5
139.589601874301,29.6
138.670041427461,29.7
137.759476392248,29.8
136.857790624987,29.9
135.96486983733,30
135.080601561065,30.1
134.204875113691,30.2
133.337581564744,30.3
132.478613702854,30.4
131.627866003527,30.5
130.785234597609,30.6
129.950617240443,30.7
129.123913281686,30.8
128.305023635768,30.9
127.493850752994,31
126.690298591252,31.1
125.894272588328,31.2
125.105679634808,31.3
124.324428047553,31.4
123.550427543731,31.5
122.783589215398,31.6
122.023825504612,31.7
121.271050179067,31.8
120.525178308231,31.9
119.78612623999,32
119.053811577765,32.1
118.328153158108,32.2
117.609071028765,32.3
116.896486427178,32.4
116.190321759438,32.5
115.490500579665,32.6
114.796947569806,32.7
114.109588519852,32.8
113.428350308445,32.9
112.753160883885,33
112.083949245519,33.1
111.420645425503,33.2
110.763180470932,33.3
110.111486426321,33.4
109.465496316447,33.5
108.825144129523,33.6
108.190364800708,33.7
107.561094195948,33.8
106.937269096126,33.9
106.31882718154,34
105.705707016666,34.1
105.097848035238,34.2
104.495190525605,34.3
103.897675616384,34.4
103.305245262384,34.5
102.717842230806,34.6
102.135410087711,34.7
101.557893184746,34.8
100.985236646127,34.9
100.417386355872,35
99.8542889452748,35.1
99.2958917806226,35.2
98.7421429511436,35.3
98.192991257185,35.4
97.648386198614,35.5
97.1082779634386,35.6
96.5726174166416,35.7
96.0413560892252,35.8
95.5144461674604,35.9
94.9918404823375,36
94.4734924992128,36.1
93.9593563076483,36.2
93.4493866114395,36.3
92.943538718828,36.4
92.4417685328937,36.5
91.9440325421253,36.6
91.4502878111627,36.7
90.9604919717092,36.8
90.4746032136104,36.9
89.9925802760942,37
89.5143824391717,37.1
89.0399695151924,37.2
88.5693018405535,37.3
88.1023402675577,37.4
87.6390461564182,37.5
87.1793813674068,37.6
86.7233082531425,37.7
86.2707896510188,37.8
85.8217888757645,37.9
85.3762697121379,38
84.9341964077498,38.1
84.495533666014,38.2
84.0602466392218,38.3
83.6283009217388,38.4
83.1996625433204,38.5
82.7742979625454,38.6
82.3521740603637,38.7
81.9332581337568,38.8
81.5175178895083,38.9
81.1049214380824,39
80.695437287609,39.1
80.289034337972,39.2
79.8856818749998,39.3
79.4853495647553,39.4
79.0880074479243,39.5
78.6936259342994,39.6
78.3021757973584,39.7
77.9136281689349,39.8
77.527954533979,39.9
77.1451267254077,40
76.7651169190414,40.1
76.3878976286265,40.2
76.0134417009412,40.3
75.6417223109839,40.4
75.2727129572422,40.5
74.9063874570405,40.6
74.5427199419653,40.7
74.1816848533676,40.8
73.8232569379381,40.9
73.4674112433572,41
73.1141231140163,41.1
72.7633681868094,41.2
72.4151223869946,41.3
72.0693619241224,41.4
71.7260632880321,41.5
71.3852032449121,41.6
71.0467588334256,41.7
70.7107073608985,41.8
70.3770263995697,41.9
70.0456937829016,42
69.7166876019505,42.1
69.3899862017958,42.2
69.0655681780256,42.3
68.7434123732799,42.4
68.423497873848,42.5
68.1058040063214,42.6
67.7903103342991,42.7
67.4769966551456,42.8
