"SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","SPECIES_TYPE_CD","A","B","GCF"
"PRSI","Pristipomoides sieboldii","Kalekale","DPS",2.243e-05,2.932,0.1364
"PSAU","Pristipomoides auricilla","Goldflag jobfish",NA,NA,NA,NA
"PRSP","Pristipomoides sp.","Jobfish","DPS",NA,NA,NA
"PRZO","Pristipomoides zonatus","Gindai","DPS",3.526e-05,2.859,1
"PSDE","Pseudocaranx cheilio","White trevally","OTB",NA,NA,NA
"PSHA","Pseudanthias hawaiiensis","Hawaiian Anthias","OTH",NA,NA,NA
"PSSP","Pseudanthias sp.","Anthias sp.","OTH",NA,NA,NA
"PUFF","Tetraodontid sp.","Puffer sp.","OTH",NA,NA,NA
"PUFF","Tetraodontid sp.","Puffer sp.","OTH",NA,NA,NA
"PUFF","Tetraodontid sp.","Puffer sp.","OTH",NA,NA,NA
"RAFI","Randallichthys filamentosus","Randall's snapper","OTB",NA,NA,NA
"RASP","Rajiform sp.","Ray sp.","OTH",NA,NA,NA
"RAZO","Xyrichtyinae sp.","Razorfish","OTH",NA,NA,NA
"ROEX","Roa excelsa","Hawaiian gold-barred butterflyfish","OTH",NA,NA,NA
"SARD","Sarda sp.","Bonito","OTH",NA,NA,NA
"SARD","Sarda sp.","Bonito","OTH",NA,NA,NA
"SARD","Sarda sp.","Bonito","OTH",NA,NA,NA
"SEDU","Seriola dumerili","Greater amberjack","OTB",NA,NA,NA
"SEDU","Seriola dumerili","Greater amberjack","OTB",NA,NA,NA
"SERI","Seriola rivoliana","Almaco jack","OTB",NA,NA,NA
"SERI","Seriola rivoliana","Almaco jack","OTB",NA,NA,NA
"SESP","Seriola sp.","Amberjack sp.","OTB",NA,NA,NA
"CASP","Caranx sp.","Jack sp.","OTB",NA,NA,NA
"CASP","Caranx sp.","Jack sp.","OTB",NA,NA,NA
"SHAR","Carcharinid sp.","Requiem shark sp.","SHK",NA,NA,NA
"SHAR","Carcharhinus sp.","Requiem shark sp.","SHK",NA,NA,NA
"SHAR","Carcharinid sp.","Requiem shark sp.","SHK",NA,NA,NA
"SHAR","Elasmobranch sp.","Shark sp. ","SHK",NA,NA,NA
"SHAR","Shark","Shark sp. ","SHK",NA,NA,NA
"SHAR","Shark or Teleost","Shark sp. ","SHK",NA,NA,NA
"SHRK","Chondrichthid sp.","Shark sp. ","SHK",NA,NA,NA
"SHRK","Chondrichthid sp.","Shark sp. ","SHK",NA,NA,NA
"SPPA","Sphoeroides pachygaster","Blunthead puffer","OTH",NA,NA,NA
"SPBA","Sphyraena barracuda","Great barracuda","OTH",NA,NA,NA
"SPHE","Sphyraena helleri","Heller's Barracuda","OTH",NA,NA,NA
"SQSP","Squalus sp.","Green eye shark","SHK",NA,NA,NA
"SQMI","Squalus hawaiiensis","Green eye shark","SHK",NA,NA,NA
"SQMI","Squalus hawaiiensis","Green eye shark","SHK",NA,NA,NA
"SUFR","Sufflamea fraenatum","Bridled Triggerfish","OTH",NA,NA,NA
"SUFR","Sufflamen fraenatum","Masked triggerfish","OTH",NA,NA,NA
"SYSP","Symphysanodontid sp.","Slopefish","OTH",NA,NA,NA
"SYSP","Symphysanodon sp.","Slopefish","OTH",NA,NA,NA
"SYTY","Symphysanodon typus","Insular shelf beauty","OTH",NA,NA,NA
"THAL","Thunnus albacares","Yellowfin tuna","OTH",NA,NA,NA
"THAL","Thunnus albacares","Yellowfin tuna","OTH",NA,NA,NA
"THAL","Thunnus albacares","Ahi","OTH",NA,NA,NA
"THDU","Thalassoma duperrey","Saddle wrasse","OTH",NA,NA,NA
"TOFL","Torquigener florealis","Floral puffer","OTH",NA,NA,NA
"TORA","Torquigener randalli","Randall's puffer","OTH",NA,NA,NA
"TRIG","Balistidae","Triggerfish sp.","OTH",NA,NA,NA
"TRIG","Balistid sp.","Triggerfish sp.","OTH",NA,NA,NA
"TRIG","Balistid sp.","Triggerfish sp.","OTH",NA,NA,NA
"TRMY","Trachinocephalus myhops ","Lizardfish","OTH",NA,NA,NA
"TROB","Triaenodon obesus","Whitetip Reef Shark","OTH",NA,NA,NA
"TROB","Triaenodon obesus","Whitetip Reef Shark","OTH",NA,NA,NA
"WRAS","Labrid","Wrasse sp.","OTH",NA,NA,NA
"XACA","Xanthichthys caeruleolineatus","Bluelined triggerfish","OTH",NA,NA,NA
"XAME","Xanthichthys mento","Redtail triggerfish","OTH",NA,NA,NA
"ZACO","Zanclus cornutus","Moorish idol","OTH",NA,NA,NA
"ZAKE","Zalanthias kelloggi","Eastern flower porgy","OTH",NA,NA,NA
"NESC","Neomonachus schauinslandi","Hawaiian Monk Seal",NA,NA,NA,NA
"CASC","Caprodon schlegelii","Sunrise Perch","OTH",NA,NA,NA
"SCRU","Scarus rubroviolaceus","Ember Parrotfish","OTH",NA,NA,NA
"BAPO","Balistes polylepis","Finescale triggerfish","OTH",NA,NA,NA
"ACTH","Acanthurus thompsoni","Thompson's surgeonfish","OTH",NA,NA,NA
"CAUN","Caprodon unicolor","Hawaiian Sunrise Perch","OTH",NA,NA,NA
"ACBL","Acanthurus blochii","Ringtail surgeonfish","OTH",NA,NA,NA
"PLSP","Plesiobatis sp.","Deep-water stingray","OTH",NA,NA,NA
"ACDU","Acanthurus dussumieri","Eyestripe surgeonfish","OTH",NA,NA,NA
"ACSP","Acanthurid sp.","Surgeonfish sp.","OTH",NA,NA,NA
"ACSP","Acanthurid","Surgeonfish sp.","OTH",NA,NA,NA
"ACXA","Acanthurus xanthopterus","Yellowfin surgeonfish","OTH",NA,NA,NA
"AENA","Aetobatus narinari","Spotted eagle ray","OTH",NA,NA,NA
"AKUU","Katsuwonus pelamis","Skipjack tuna","OTH",NA,NA,NA
"ALMO","Aluterus monoceros","Unicorn leatherjacket filefish","OTH",NA,NA,NA
"ALSP","Alopias sp.","Thresher shark",NA,NA,NA,NA
"ALSP","Alopiidae","Thresher shark",NA,NA,NA,NA
"ANSP","Antigonia sp.","Boarfish sp.","OTH",NA,NA,NA
"APAR","Apolemichthys arcuatus","Banded angelfish","OTH",NA,NA,NA
"APFU","Aphareus furca","Small toothed jobfish","OTB",NA,NA,NA
"APFU","Aphareus furca","Small toothed jobfish","OTB",NA,NA,NA
"APRU","Aphareus rutilans","Lehi","DPS",0.0001298,2.458,1
"APVI","Aprion virescens","Green jobfish","OTB",2.1e-05,2.9052,NA
"ARBR","Ariomma brevimanus","Indian driftfish",NA,NA,NA,NA
"AUCH","Aulostomus chinensis","Chinese trumpetfish","OTH",NA,NA,NA
"BEDA","Beryx decadactylus","Alfonsino","OTB",NA,NA,NA
