"YEAR","BFISH","STRATA_2020","APRU","ETCA","ETCO","HYQU","PRFI","PRSI","PRZO"
2018,"BFISH_2018_F","S01",0.0339293096191899,0,0,0,0.0578390084186011,0,0
2018,"BFISH_2018_F","S02",0,0,0,0,0.598390615195888,0,0
2018,"BFISH_2018_F","S03",1.32862615703135,0,0,0,2.43355757531566,0,0
2018,"BFISH_2018_F","S04",0,0,0,0,0,0,0
2018,"BFISH_2018_F","S05",0,0,0,0.278791611416347,0.992767435817502,0,0
2018,"BFISH_2018_F","S06",0,0,0,0,9.79858175640376,0,0
2018,"BFISH_2018_F","S07",0,0,0,0,0,0,0
2018,"BFISH_2018_F","S08",0,0,0,0.457218966915296,5.04755713813092,1.97051528648579,0
2018,"BFISH_2018_F","S09",0,0,0,0,0,0,0
2018,"BFISH_2018_F","S10",0,0,0,0,2.13933389802797,0.213683873072718,0
2018,"BFISH_2018_F","S11",0,0,0,0.312851651347312,3.03643284268547,1.5873528594187,0
2018,"BFISH_2018_F","S12",3.0983091884093,0.107262119080258,0,0,4.19575698140162,2.75023885928609,0
2018,"BFISH_2018_F","S13",0,0,0,0,0,0,0
2018,"BFISH_2018_F","S14",0,0.314205379785375,0,0.46945299480975,0.481116359221241,0.802513108157782,0.128694036654026
2018,"BFISH_2018_F","S15",0,2.06950194652206,0,0.828802892326739,0.40504746057319,0.425871970321994,0.148522306307006
2018,"BFISH_2018_F","S16",0,0.675769990806898,2.43405158218364,0.545918241453841,4.44683099584722,2.48567017343598,0.196683240652512
2018,"BFISH_2018_F","S17",0,0,0,0.340705642802828,0,0,0
2018,"BFISH_2018_F","S18",0,2.00658730480882,0,0,0,0,0
2018,"BFISH_2018_F","S19",0,0,10.4141064550198,0,0,0,0
2018,"BFISH_2018_F","S20",0,0.224885267297803,0.0560465518318317,0,0,0.39114542175052,0
2018,"BFISH_2018_F","S21",0,2.04236391113241,0.654016944511306,0,0,1.29108103903753,0
2018,"BFISH_2018_F","S22",0,1.44679395607808,1.97773396553001,0,0.7967759107776,0,0
2018,"BFISH_2018_F","S23",0,0,0,0,0,0,0
2018,"BFISH_2018_F","S24",0,0.0241265695977351,0.0329463374613807,0,0,0,0
