"YEAR","BFISH","PSU","STRATA_2020","APRU","ETCA","ETCO","HYQU","PRFI","PRSI","PRZO"
2019,"BFISH_2019_F",81,"S15",0,0,0,0,0,12.0523548577457,0
2019,"BFISH_2019_F",108,"S11",0,0,0,0,0,21.0163012792647,0
2019,"BFISH_2019_F",369,"S22",0,18.5473878559513,0,0,0,0,0
2019,"BFISH_2019_F",524,"S22",0,2.29964970066608,0,0,12.268955537748,0,0
2019,"BFISH_2019_F",631,"S22",0,9.50879107795946,0,0,0,0,0.773951349925052
2019,"BFISH_2019_F",641,"S22",0,5.67070707760107,0,0,0,5.08523570952551,0
2019,"BFISH_2019_F",710,"S22",0,3.05762037383569,0,0,0,0,0
2019,"BFISH_2019_F",1050,"S21",0,2.45858627739375,0,0,0,6.51601924355975,0
2019,"BFISH_2019_F",1052,"S24",0,0,0,0,0,0,0
2019,"BFISH_2019_F",1134,"S20",0,1.51593791347797,0,0,0,0,0
2019,"BFISH_2019_F",1142,"S20",0,5.26765782344428,0,0,0,0,0
2019,"BFISH_2019_F",1230,"S02",0,0,0,0,10.5759363832844,0,0
2019,"BFISH_2019_F",1232,"S02",0,0,0,0,8.56994288495179,0,0
2019,"BFISH_2019_F",1251,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",1352,"S16",0,1.98394749655434,0,0,2.82134213193476,0,1.50508961445435
2019,"BFISH_2019_F",1590,"S20",0,2.36234895775358,0,0,0,0,0.647269868924597
2019,"BFISH_2019_F",1625,"S22",0,0,0,0,0,0,0
2019,"BFISH_2019_F",1628,"S15",0,0.669071595709924,0,0,0,0,1.55167994612811
2019,"BFISH_2019_F",1750,"S12",0,0,0,0,0,0,0.992547175114837
2019,"BFISH_2019_F",1835,"S20",0,4.38860460916169,0,0,0,0,0
2019,"BFISH_2019_F",2008,"S20",0,3.80244018069355,0,0,0,0,0
2019,"BFISH_2019_F",2132,"S12",0,0,0,0,0,5.08523570952551,0
2019,"BFISH_2019_F",2387,"S02",0,0,0,0,0,0,0
2019,"BFISH_2019_F",2502,"S15",0,0.669071595709924,0,0,0,0,0
