"YEAR","BFISH","Island","STRATA_2020","SAMPLE_DEPTH_M","PSU","SPECIES_CD","LENGTH_CM","CPUE"
2020,"BFISH_2020_F","Big Island","S01",82.11312,101,"PRZO",0,0
2020,"BFISH_2020_F","Big Island","S01",82.11312,101,"HYQU",0,0
2020,"BFISH_2020_F","Big Island","S01",82.11312,101,"APRU",0,0
2020,"BFISH_2020_F","Big Island","S01",82.11312,101,"PRFI",41,2.89100896212778
2020,"BFISH_2020_F","Big Island","S01",82.11312,101,"PRSI",0,0
2020,"BFISH_2020_F","Big Island","S01",82.11312,101,"ETCA",0,0
2020,"BFISH_2020_F","Big Island","S01",82.11312,101,"PRFI",38,2.89100896212778
2020,"BFISH_2020_F","Big Island","S01",82.11312,101,"ETCO",0,0
2020,"BFISH_2020_F","Maui Nui","S01",89.154,17006,"PRZO",0,0
2020,"BFISH_2020_F","Maui Nui","S01",89.154,17006,"PRSI",0,0
2020,"BFISH_2020_F","Maui Nui","S01",89.154,17006,"APRU",0,0
2020,"BFISH_2020_F","Maui Nui","S01",89.154,17006,"HYQU",0,0
2020,"BFISH_2020_F","Maui Nui","S01",89.154,17006,"PRFI",0,0
2020,"BFISH_2020_F","Maui Nui","S01",89.154,17006,"ETCA",0,0
2020,"BFISH_2020_F","Maui Nui","S01",89.154,17006,"ETCO",0,0
2020,"BFISH_2020_F","Maui Nui","S01",99.2124,31998,"PRFI",0,0
2020,"BFISH_2020_F","Maui Nui","S01",99.2124,31998,"PRZO",0,0
2020,"BFISH_2020_F","Maui Nui","S01",99.2124,31998,"ETCA",0,0
2020,"BFISH_2020_F","Maui Nui","S01",99.2124,31998,"PRSI",0,0
2020,"BFISH_2020_F","Maui Nui","S01",99.2124,31998,"ETCO",0,0
2020,"BFISH_2020_F","Maui Nui","S01",99.2124,31998,"APRU",0,0
2020,"BFISH_2020_F","Maui Nui","S01",99.2124,31998,"HYQU",0,0
2020,"BFISH_2020_F","Oahu","S01",99.12,34573,"ETCO",0,0
2020,"BFISH_2020_F","Oahu","S01",99.12,34573,"ETCA",0,0
2020,"BFISH_2020_F","Oahu","S01",99.12,34573,"HYQU",0,0
2020,"BFISH_2020_F","Oahu","S01",99.12,34573,"PRFI",0,0
2020,"BFISH_2020_F","Oahu","S01",99.12,34573,"PRSI",0,0
2020,"BFISH_2020_F","Oahu","S01",99.12,34573,"APRU",0,0
2020,"BFISH_2020_F","Oahu","S01",99.12,34573,"PRZO",0,0
2020,"BFISH_2020_F","Oahu","S01",80.745,38103,"ETCO",0,0
2020,"BFISH_2020_F","Oahu","S01",80.745,38103,"HYQU",0,0
2020,"BFISH_2020_F","Oahu","S01",80.745,38103,"PRZO",0,0
2020,"BFISH_2020_F","Oahu","S01",80.745,38103,"APRU",0,0
2020,"BFISH_2020_F","Oahu","S01",80.745,38103,"ETCA",0,0
2020,"BFISH_2020_F","Oahu","S01",80.745,38103,"PRFI",0,0
2020,"BFISH_2020_F","Oahu","S01",80.745,38103,"PRSI",0,0
2020,"BFISH_2020_F","Oahu","S01",78.8075,39513,"ETCO",0,0
2020,"BFISH_2020_F","Oahu","S01",78.8075,39513,"HYQU",0,0
2020,"BFISH_2020_F","Oahu","S01",78.8075,39513,"ETCA",0,0
2020,"BFISH_2020_F","Oahu","S01",78.8075,39513,"PRZO",0,0
