"PSU","Island","BFISH","STRATA_2020","SAMPLE_DEPTH_M","SPECIES_CD","LENGTH_CM","CPUE","GEAR","YEAR"
18,"Big Island","BFISH_2020_F","S12",142.3416,"PRZO",0,0,"Fishing","2020"
18,"Big Island","BFISH_2020_F","S12",142.3416,"PRFI",0,0,"Fishing","2020"
18,"Big Island","BFISH_2020_F","S12",142.3416,"PRSI",0,0,"Fishing","2020"
18,"Big Island","BFISH_2020_F","S12",142.3416,"HYQU",60,1,"Fishing","2020"
18,"Big Island","BFISH_2020_F","S12",142.3416,"APRU",51,1,"Fishing","2020"
18,"Big Island","BFISH_2020_F","S12",142.3416,"ETCA",0,0,"Fishing","2020"
18,"Big Island","BFISH_2020_F","S12",142.3416,"ETCO",0,0,"Fishing","2020"
37,"Big Island","BFISH_2020_F","S10",111.5568,"ETCA",0,0,"Fishing","2020"
37,"Big Island","BFISH_2020_F","S10",111.5568,"HYQU",0,0,"Fishing","2020"
37,"Big Island","BFISH_2020_F","S10",111.5568,"ETCO",0,0,"Fishing","2020"
37,"Big Island","BFISH_2020_F","S10",111.5568,"PRZO",0,0,"Fishing","2020"
37,"Big Island","BFISH_2020_F","S10",111.5568,"PRSI",0,0,"Fishing","2020"
37,"Big Island","BFISH_2020_F","S10",111.5568,"APRU",0,0,"Fishing","2020"
37,"Big Island","BFISH_2020_F","S10",111.5568,"PRFI",0,0,"Fishing","2020"
50,"Big Island","BFISH_2020_F","S22",281.6352,"HYQU",0,0,"Fishing","2020"
50,"Big Island","BFISH_2020_F","S22",281.6352,"APRU",0,0,"Fishing","2020"
50,"Big Island","BFISH_2020_F","S22",281.6352,"PRFI",0,0,"Fishing","2020"
50,"Big Island","BFISH_2020_F","S22",281.6352,"PRSI",0,0,"Fishing","2020"
50,"Big Island","BFISH_2020_F","S22",281.6352,"ETCO",0,0,"Fishing","2020"
50,"Big Island","BFISH_2020_F","S22",281.6352,"ETCA",0,0,"Fishing","2020"
50,"Big Island","BFISH_2020_F","S22",281.6352,"PRZO",0,0,"Fishing","2020"
101,"Big Island","BFISH_2020_F","S01",82.11312,"PRZO",0,0,"Fishing","2020"
101,"Big Island","BFISH_2020_F","S01",82.11312,"HYQU",0,0,"Fishing","2020"
101,"Big Island","BFISH_2020_F","S01",82.11312,"APRU",0,0,"Fishing","2020"
101,"Big Island","BFISH_2020_F","S01",82.11312,"PRFI",41,2.89100896212778,"Fishing","2020"
101,"Big Island","BFISH_2020_F","S01",82.11312,"PRSI",0,0,"Fishing","2020"
101,"Big Island","BFISH_2020_F","S01",82.11312,"ETCA",0,0,"Fishing","2020"
101,"Big Island","BFISH_2020_F","S01",82.11312,"PRFI",38,2.89100896212778,"Fishing","2020"
101,"Big Island","BFISH_2020_F","S01",82.11312,"ETCO",0,0,"Fishing","2020"
132,"Big Island","BFISH_2020_F","S10",117.0432,"ETCO",0,0,"Fishing","2020"
132,"Big Island","BFISH_2020_F","S10",117.0432,"ETCA",0,0,"Fishing","2020"
132,"Big Island","BFISH_2020_F","S10",117.0432,"PRFI",41,5.78201792425556,"Fishing","2020"
132,"Big Island","BFISH_2020_F","S10",117.0432,"PRSI",0,0,"Fishing","2020"
132,"Big Island","BFISH_2020_F","S10",117.0432,"PRZO",0,0,"Fishing","2020"
132,"Big Island","BFISH_2020_F","S10",117.0432,"APRU",0,0,"Fishing","2020"
132,"Big Island","BFISH_2020_F","S10",117.0432,"HYQU",0,0,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"ETCA",29,1.62048290390536,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"PRSI",0,0,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"ETCA",40,1.62048290390536,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"ETCA",28,1.62048290390536,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"HYQU",0,0,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"ETCA",26,1.62048290390536,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"PRFI",0,0,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"ETCA",50,1.62048290390536,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"APRU",0,0,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"ETCO",0,0,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"PRZO",0,0,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"ETCA",27,1.62048290390536,"Fishing","2020"
304,"Big Island","BFISH_2020_F","S22",294.132,"ETCA",21,1.62048290390536,"Fishing","2020"
323,"Big Island","BFISH_2020_F","S16",174.3456,"PRFI",0,0,"Fishing","2020"
323,"Big Island","BFISH_2020_F","S16",174.3456,"PRZO",27,1,"Fishing","2020"
323,"Big Island","BFISH_2020_F","S16",174.3456,"APRU",0,0,"Fishing","2020"
323,"Big Island","BFISH_2020_F","S16",174.3456,"PRZO",38,1,"Fishing","2020"
323,"Big Island","BFISH_2020_F","S16",174.3456,"HYQU",0,0,"Fishing","2020"
