"mod","y"
2341.5059503004,1
2330.16842068729,1.1
2317.87643656968,1.2
2304.66183537837,1.3
2290.55827115565,1.4
2275.60101186589,1.5
2259.82673294989,1.6
2243.27330920523,1.7
2225.9796069928,1.8
2207.98527866081,1.9
2189.33056094573,2
2170.05607895906,2.1
2150.20265720384,2.2
2129.81113888898,2.3
2108.92221462827,2.4
2087.57626142663,2.5
2065.81319267354,2.6
2043.6723196855,2.7
2021.19222516817,2.8
1998.41064880768,2.9
1975.36438505089,3
1952.08919299721,3.1
1928.6197182022,3.2
1904.98942608463,3.3
1881.23054653518,3.4
1857.37402924678,3.5
1833.44950922153,3.6
1809.4852818594,3.7
1785.50828699562,3.8
1761.54410122853,3.9
1737.61693786492,4
1713.74965380497,4.1
1689.96376269303,4.2
1666.2794536719,4.3
1642.71561509599,4.4
1619.28986258235,4.5
1596.01857080567,4.6
1572.91690847474,4.7
1549.99887596094,4.8
1527.27734508463,4.9
1504.7641006016,5
1482.46988296792,5.1
1460.40443199839,5.2
1438.5765310693,5.3
1416.99405155138,5.4
1395.66399719205,5.5
1374.59254819882,5.6
1353.78510480553,5.7
1333.24633013218,5.8
1312.98019217593,5.9
1292.99000479529,6
1273.27846757299,6.1
1253.84770446357,6.2
1234.6993011512,6.3
1215.83434106025,6.4
1197.253439977,6.5
1178.95677925451,6.6
1160.94413758517,6.7
1143.21492133636,6.8
1125.76819345393,6.9
1108.60270094672,7
1091.71690097222,7.1
1075.10898554953,7.2
1058.77690493083,7.3
1042.71838966666,7.4
1026.93097140376,7.5
1011.41200245671,7.6
996.158674196784,7.7
981.1680343028,7.8
966.437002919677,7.9
951.962387770981,8
937.740898271891,8.1
923.769158688791,8.2
910.043720391283,8.3
896.56107324172,8.4
883.317656166434,8.5
870.309866951849,8.6
857.534071307432,8.7
844.986611236179,8.8
832.663812751972,8.9
820.561992981698,9
808.677466688578,9.1
797.006552251644,9.2
785.545577134826,9.3
774.290882877577,9.4
763.238829637516,9.5
752.385800314049,9.6
741.728204280544,9.7
731.262480751162,9.8
720.985101807121,9.9
710.892575105817,10
700.981446294927,10.1
691.248301152393,10.2
681.689767471982,10.3
672.302516712962,10.4
663.083265431345,10.5
654.028776509094,10.6
645.135860196678,10.7
636.401374983423,10.8
627.822228309186,10.9
619.395377130013,11
611.117828349649,11.1
602.986639127954,11.2
594.9989170766,11.3
587.151820351675,11.4
579.442557652215,11.5
571.868388133055,11.6
564.426621239783,11.7
557.114616473097,11.8
549.929783089284,11.9
542.869579743116,12
535.931514078966,12.1
529.11314227555,12.2
522.412068549294,12.3
515.825944620944,12.4
509.35246914971,12.5
502.989387138892,12.6
496.734489316646,12.7
490.585611495236,12.8
484.540633911908,12.9
478.597480554203,13
472.754118472358,13.1
467.008557081197,13.2
461.358847453711,13.3
455.803081608363,13.4
450.339391791961,13.5
444.965949759787,13.6
439.680966054516,13.7
434.482689285339,13.8
429.36940540854,13.9
424.3394370107,14
419.391142595549,14.1
414.522915875419,14.2
409.733185068126,14.3
405.020412200055,14.4
400.3830924161,14.5
395.819753297075,14.6
391.328954185118,14.7
386.90928551755,14.8
382.559368169603,14.9
378.277852806373,15
374.063419244279,15.1
369.914775822322,15.2
365.830658783314,15.3
361.8098316653,15.4
357.851084703272,15.5
353.95323424132,15.6
350.11512215527,15.7
346.335615285883,15.8
342.613604882633,15.9
338.948006058066,16
335.337757252747,16.1
331.781819710726,16.2
328.279176965517,16.3
324.828834336487,16.4
321.429818435606,16.5
318.081176684457,16.6
314.781976841402,16.7
311.531306538806,16.8
308.328272830198,16.9
305.172001747229,17
302.061637866327,17.1
298.996343884876,17.2
295.975300206808,17.3
292.99770453744,17.4
290.062771487417,17.5
287.169732185614,17.6
284.317833900825,17.7
281.506339672105,17.8
278.734527947587,17.9
276.001692231631,18
273.307140740138,18.1
270.650196063874,18.2
268.030194839643,18.3
265.446487429151,18.4
262.898437605404,18.5
260.385422246483,18.6
257.906831036547,18.7
255.46206617389,18.8
253.050542085926,18.9
250.671685150938,19
248.32493342643,19.1
246.00973638396,19.2
243.725554650292,19.3
241.471859754721,19.4
239.248133882447,19.5
237.053869633841,19.6
234.888569789478,19.7
232.751747080796,19.8
230.642923966258,19.9
228.561632412876,20
226.507413682978,20.1
224.479818126095,20.2
222.478404975834,20.3
220.502742151637,20.4
218.552406065284,20.5
216.626981432051,20.6
214.726061086385,20.7
212.849245802014,20.8
210.996144116354,20.9
209.166372159129,21
207.359553485098,21.1
205.575318910783,21.2
203.813306355091,21.3
202.073160683763,21.4
200.354533557521,21.5
198.657083283844,21.6
196.980474672277,21.7
195.324378893185,21.8
193.688473339861,21.9
192.072441493917,22
190.475972793867,22.1
188.898762506826,22.2
187.340511603242,22.3
185.800926634595,22.4
184.279719613986,22.5
182.77660789953,22.6
181.291314080513,22.7
179.823565866208,22.8
178.373095977318,22.9
176.939642039948,23
175.522946482077,23.1
174.122756432432,23.2
172.738823621739,23.3
171.370904286258,23.4
170.018759073578,23.5
168.682152950587,23.6
167.360855113583,23.7
166.054638900464,23.8
164.76328170494,23.9
163.486564892738,24
162.224273719718,24.1
160.976197251886,24.2
159.742128287233,24.3
158.521863279364,24.4
157.315202262877,24.5
156.121948780439,24.6
154.941909811522,24.7
153.774895702765,24.8
152.620720099905,24.9
151.479199881256,25
150.350155092686,25.1
149.233408884066,25.2
148.128787447139,25.3
147.036119954794,25.4
145.955238501693,25.5
144.885978046228,25.6
143.828176353777,25.7
142.781673941216,25.8
141.746314022673,25.9
140.721942456473,26
139.708407693271,26.1
138.705560725318,26.2
137.713255036854,26.3
136.731346555583,26.4
135.759693605223,26.5
134.798156859085,26.6
133.846599294671,26.7
132.904886149262,26.8
131.97288487647,26.9
131.050465103734,27
130.137498590736,27.1
129.233859188716,27.2
128.339422800664,27.3
127.454067342367,27.4
126.577672704298,27.5
125.710120714308,27.6
124.851295101133,27.7
124.001081458666,27.8
123.159367210992,27.9
122.326041578166,28
121.500995542721,28.1
120.684121816873,28.2
119.875314810425,28.3
119.074470599347,28.4
118.281486895008,28.5
117.496263014062,28.6
116.718699848955,28.7
115.948699839051,28.8
115.186166942358,28.9
114.431006607841,29
113.683125748306,29.1
112.942432713847,29.2
112.208837265839,29.3
111.482250551463,29.4
110.762585078763,29.5
110.049754692198,29.6
109.34367454871,29.7
108.644261094268,29.8
107.951432040893,29.9
