"Island","STRATA","PSU_COUNT"
"Big Island","HB_H_D",1073
"Big Island","HB_H_M",499
"Big Island","HB_H_S",980
"Big Island","HB_L_D",1336
"Big Island","HB_L_M",377
"Big Island","HB_L_S",744
"Big Island","SB_A_D",464
"Big Island","SB_A_M",648
"Big Island","SB_A_S",640
"Kauai","HB_H_D",245
"Kauai","HB_H_M",230
"Kauai","HB_H_S",357
"Kauai","HB_L_D",67
"Kauai","HB_L_M",1
"Kauai","HB_L_S",207
"Kauai","SB_A_D",48
"Kauai","SB_A_M",7
"Kauai","SB_A_S",17
"Maui Nui","HB_H_D",765
"Maui Nui","HB_H_M",1146
"Maui Nui","HB_H_S",2424
"Maui Nui","HB_L_D",1384
"Maui Nui","HB_L_M",1527
"Maui Nui","HB_L_S",2306
"Maui Nui","SB_A_D",906
"Maui Nui","SB_A_M",684
"Maui Nui","SB_A_S",849
"Niihau","HB_H_D",230
"Niihau","HB_H_M",153
"Niihau","HB_H_S",226
"Niihau","HB_L_D",58
"Niihau","HB_L_M",1
"Niihau","HB_L_S",37
"Niihau","SB_A_D",18
"Niihau","SB_A_M",15
"Niihau","SB_A_S",15
"Oahu","HB_H_D",432
"Oahu","HB_H_M",331
"Oahu","HB_H_S",517
"Oahu","HB_L_D",779
"Oahu","HB_L_M",324
"Oahu","HB_L_S",460
"Oahu","SB_A_D",28
"Oahu","SB_A_M",31
"Oahu","SB_A_S",27
